"A","B","synergy","nearest.monoculture","t.test_p.value","fold.change.48","Cocul","p.value.adj"
"ADE5,7","HIS2","Yes","HIS2",0.410333566,1.22645031,"ADE5,7-HIS2",0.511166387679181
"ARG1","HIS2","Yes","HIS2",0.086820014,1.814195246,"ARG1-HIS2",0.318485478492462
"ARG2","HIS2","Yes","HIS2",0.022672404,2.509901033,"ARG2-HIS2",0.153248656666667
"ARG3","HIS2","Yes","HIS2",0.539263729,1.556278228,"ARG3-HIS2",0.616060285086072
"ARO1","HIS2","Yes","HIS2",0.30744069,1.78739381,"ARO1-HIS2",0.439200985714286
"ECM29","HIS2","Yes","HIS2",0.131899073,6.514267183,"ECM29-HIS2",0.385928544501992
"HIS1","HIS2","Yes","HIS2",0.422137332,1.306005344,"HIS1-HIS2",0.514457850350584
"IBA57","HIS2","Yes","HIS2",0.467868493,2.85916942,"IBA57-HIS2",0.549990337987117
"ISA1","HIS2","Yes","HIS2",0.197378383,2.849543575,"ISA1-HIS2",0.406761187977273
"LAG1","HIS2","Yes","HIS2",0.1832496,4.476317323,"LAG1-HIS2",0.406311699063444
"LYS2","HIS2","Yes","HIS2",0.132413022,5.349441433,"LYS2-HIS2",0.385928544501992
"MET10","HIS2","Yes","MET10",5.85e-05,40.02286042,"MET10-HIS2",0.00305035714285714
"MET3","HIS2","Yes","HIS2",0.027341235,6.958567648,"MET3-HIS2",0.173557404782609
"POS5","HIS2","Yes","HIS2",0.021860301,4.361373058,"POS5-HIS2",0.152229340285714
"RPL27A","HIS2","Yes","HIS2",0.267117282,2.346449762,"RPL27A-HIS2",0.414906514547368
"TRP3","HIS2","Yes","HIS2",0.01393718,4.735083614,"TRP3-HIS2",0.121120730952381
"URA1","HIS2","Yes","HIS2",0.089105879,2.90928081,"URA1-HIS2",0.320881644245283
"ADE1","YEA4","Yes","YEA4",1.96e-05,59.54816662,"ADE1-YEA4",0.0014308
"ADE5,7","YEA4","Yes","YEA4",0.058882763,41.81028876,"ADE5,7-YEA4",0.260933996121212
"ARG1","YEA4","Yes","YEA4",0.203839229,6.073885233,"ARG1-YEA4",0.406761187977273
"ARG2","YEA4","Yes","ARG2",0.214071089,4.836642071,"ARG2-YEA4",0.406761187977273
"ARG3","YEA4","Yes","YEA4",0.263811732,3.937362516,"ARG3-YEA4",0.414608509526882
"ARO1","YEA4","Yes","ARO1",0.243144049,2.287456568,"ARO1-YEA4",0.406761187977273
"ARO7","YEA4","Yes","ARO7",0.334201025,2.178964277,"ARO7-YEA4",0.454769262343173
"ECM29","YEA4","Yes","ECM29",0.170432731,5.554229657,"ECM29-YEA4",0.406311699063444
"ERG4","YEA4","Yes","YEA4",0.753778241,1.161067792,"ERG4-YEA4",0.806830082008798
"HIS1","YEA4","Yes","HIS1",0.092962493,1.875425216,"HIS1-YEA4",0.320881644245283
"HIS6","YEA4","Yes","HIS6",0.144460691,2.663729854,"HIS6-YEA4",0.389470243964286
"HMF1","YEA4","Yes","YEA4",0.401157444,16.02786976,"HMF1-YEA4",0.504905058827586
"IBA57","YEA4","Yes","IBA57",0.187211604,17.8398451,"IBA57-YEA4",0.406761187977273
"ILV1","YEA4","Yes","ILV1",0.269961904,2.968535379,"ILV1-YEA4",0.414906514547368
"IRC10","YEA4","Yes","IRC10",0.344494706,3.207810423,"IRC10-YEA4",0.459746134149909
"ISA1","YEA4","Yes","YEA4",0.31192665,14.27244573,"ISA1-YEA4",0.44133024729207
"LYS4","YEA4","Yes","YEA4",0.362964928,11.97005621,"LYS4-YEA4",0.470539092482269
"LYS9","YEA4","Yes","LYS9",0.292527215,7.226331135,"LYS9-YEA4",0.430786110564516
"MET10","YEA4","Yes","MET10",0.17628496,9.997143694,"MET10-YEA4",0.406311699063444
"MET13","YEA4","Yes","YEA4",0.520699594,1.443436323,"MET13-YEA4",0.597658339025157
"ORT1","YEA4","Yes","ORT1",0.331714592,7.210963882,"ORT1-YEA4",0.454769262343173
"POS5","YEA4","Yes","POS5",0.420665435,1.360066217,"POS5-YEA4",0.51352135041806
"TRP3","YEA4","Yes","TRP3",0.207237105,3.135065665,"TRP3-YEA4",0.406761187977273
"TRP5","YEA4","Yes","TRP5",0.257999211,8.55934781,"TRP5-YEA4",0.412229301991247
"URA1","YEA4","Yes","URA1",0.175301583,3.809476449,"URA1-YEA4",0.406311699063444
"VPS65","YEA4","Yes","VPS65",0.150967587,3.23648763,"VPS65-YEA4",0.390114884513889
"ARO1","ARG5,6","Yes","ARG5,6",0.263936109,2.600462756,"ARO1-ARG5,6",0.414608509526882
"ARO7","ARG5,6","Yes","ARG5,6",0.359360897,8.146959929,"ARO7-ARG5,6",0.470327266457961
"ECM29","ARG5,6","Yes","ECM29",0.109843679,3.938102841,"ECM29-ARG5,6",0.3630697659375
"HIS1","ARG5,6","Yes","HIS1",0.232103379,2.219706286,"HIS1-ARG5,6",0.406761187977273
"HIS4","ARG5,6","Yes","HIS4",0.090392772,2.167149719,"HIS4-ARG5,6",0.320881644245283
"HIS6","ARG5,6","Yes","ARG5,6",0.078546087,2.469861678,"HIS6-ARG5,6",0.303379066190476
"IRC10","ARG5,6","Yes","ARG5,6",0.234359076,9.975374109,"IRC10-ARG5,6",0.406761187977273
"ISA1","ARG5,6","Yes","ARG5,6",0.284502872,1.692034154,"ISA1-ARG5,6",0.423375471405295
"LYS2","ARG5,6","Yes","LYS2",0.255008999,4.720533141,"LYS2-ARG5,6",0.41094165401766
"LYS9","ARG5,6","Yes","LYS9",0.402554983,1.474112381,"LYS9-ARG5,6",0.504922916821306
"MET1","ARG5,6","Yes","MET1",0.226696966,7.615038458,"MET1-ARG5,6",0.406761187977273
"MET10","ARG5,6","Yes","ARG5,6",0.276801039,5.608908697,"MET10-ARG5,6",0.415771107962963
"MET3","ARG5,6","Yes","MET3",0.240373749,3.46880114,"MET3-ARG5,6",0.406761187977273
"RPL27A","ARG5,6","Yes","RPL27A",0.933955429,1.05398611,"RPL27A-ARG5,6",0.946927032180555
"RPS24B","ARG5,6","Yes","RPS24B",0.408424239,4.469432995,"RPS24B-ARG5,6",0.51053029875
"TRP3","ARG5,6","Yes","TRP3",0.041867166,1.988745272,"TRP3-ARG5,6",0.226392823555556
"TRP5","ARG5,6","Yes","ARG5,6",0.328115029,4.005867938,"TRP5-ARG5,6",0.453643884791667
"URA1","ARG5,6","Yes","URA1",0.656847143,1.224891724,"URA1-ARG5,6",0.727615196342944
"ADE1","MET13","Yes","MET13",0.001063969,19.5303313,"ADE1-MET13",0.0276309136666667
"ADE2","MET13","Yes","ADE2",0.231263443,7.821051776,"ADE2-MET13",0.406761187977273
"ADE5,7","MET13","Yes","ADE5,7",0.079572402,1.810405616,"ADE5,7-MET13",0.304766717748691
"ADE8","MET13","Yes","ADE8",0.080236598,9.471542022,"ADE8-MET13",0.305066231979167
"APL2","MET13","Yes","APL2",0.239679153,5.609716451,"APL2-MET13",0.406761187977273
"ARG4","MET13","Yes","ARG4",0.360154715,6.410577981,"ARG4-MET13",0.470327266457961
"ARG5,6","MET13","Yes","MET13",0.335264782,13.56290606,"ARG5,6-MET13",0.454769262343173
"ARO7","MET13","Yes","ARO7",0.111407709,4.236410337,"ARO7-MET13",0.3630697659375
"BUD16","MET13","Yes","BUD16",0.09297829,9.201116763,"BUD16-MET13",0.320881644245283
"ECM29","MET13","Yes","ECM29",0.024685204,6.698932476,"ECM29-MET13",0.16532292587156
"FCY22","MET13","Yes","MET13",0.05884859,15.86910922,"FCY22-MET13",0.260933996121212
"HIS1","MET13","Yes","HIS1",0.305795258,2.011931509,"HIS1-MET13",0.439200985714286
"HIS2","MET13","Yes","HIS2",0.302502072,2.547451271,"HIS2-MET13",0.439200985714286
"HIS4","MET13","Yes","HIS4",0.201611032,2.026487418,"HIS4-MET13",0.406761187977273
"HMF1","MET13","Yes","MET13",0.163523776,6.598582654,"HMF1-MET13",0.398524627066667
"ILV1","MET13","Yes","ILV1",0.412472987,1.544018841,"ILV1-MET13",0.511607455432937
"LAG1","MET13","Yes","LAG1",0.030833616,17.92655715,"LAG1-MET13",0.19021459092437
"LYS9","MET13","Yes","LYS9",0.172991133,3.641769678,"LYS9-MET13",0.406311699063444
"MET14","MET13","Yes","MET14",0.253309763,3.543275279,"MET14-MET13",0.410924726644444
"MET3","MET13","Yes","MET3",0.30951134,4.527664,"MET3-MET13",0.440965069317739
"MET5","MET13","Yes","MET5",0.182521798,4.714357033,"MET5-MET13",0.406311699063444
"MET7","MET13","Yes","MET13",0.169418472,7.838039506,"MET7-MET13",0.406311699063444
"MHF2","MET13","Yes","MHF2",0.083496506,12.11574358,"MHF2-MET13",0.312576663487179
"ORF , Uncharacterized (1)","MET13","Yes","MET13",0.145494138,9.21972893,"ORF , Uncharacterized (1)-MET13",0.389470243964286
"PEX35","MET13","Yes","PEX35",0.234923312,12.49398149,"PEX35-MET13",0.406761187977273
"RPL27A","MET13","Yes","RPL27A",0.015056457,4.72177702,"RPL27A-MET13",0.127804809418605
"RSC2","MET13","Yes","RSC2",0.122467031,3.251790852,"RSC2-MET13",0.383155068803419
"TRP3","MET13","Yes","TRP3",0.011234007,1.85359828,"TRP3-MET13",0.102510313875
"TRP4","MET13","Yes","TRP4",0.046907263,9.492840914,"TRP4-MET13",0.238571837361111
"URA1","MET13","Yes","MET13",0.000990916,10.2318671,"URA1-MET13",0.0267914325925926
"URA4","MET13","Yes","URA4",0.22654181,13.77248627,"URA4-MET13",0.406761187977273
"APT1","LYS2","Yes","LYS2",0.45299428,1.989933334,"APT1-LYS2",0.540336314379085
"ARG3","LYS2","Yes","LYS2",0.464850826,1.792025466,"ARG3-LYS2",0.549095635889968
"ARG5,6","LYS2","Yes","LYS2",0.613334505,2.036657269,"ARG5,6-LYS2",0.689883187442219
"ECM29","LYS2","Yes","LYS2",0.292698508,1.754740802,"ECM29-LYS2",0.430786110564516
"HIS1","LYS2","Yes","LYS2",0.824864568,1.083773451,"HIS1-LYS2",0.862680708653295
"HIS2","LYS2","Yes","LYS2",0.018492513,1.492961289,"HIS2-LYS2",0.143460176315789
"HIS4","LYS2","Yes","LYS2",0.523128075,1.295840037,"HIS4-LYS2",0.599503131475667
"HIS6","LYS2","Yes","LYS2",0.326568233,1.441989826,"HIS6-LYS2",0.452362068481973
"IRC10","LYS2","Yes","LYS2",0.877344923,-1.071198858,"IRC10-LYS2",0.905886554158416
"ISA1","LYS2","Yes","LYS2",0.690313167,1.262173758,"ISA1-LYS2",0.757787386330827
"LYS9","LYS2","Yes","LYS2",0.072278551,2.557069831,"LYS9-LYS2",0.297548333602151
"MET1","LYS2","Yes","LYS2",0.304894834,2.52770353,"MET1-LYS2",0.439200985714286
"MET14","LYS2","Yes","LYS2",0.456067508,1.685520316,"MET14-LYS2",0.541348424130081
"MET7","LYS2","Yes","LYS2",0.415177734,-1.565639026,"MET7-LYS2",0.512825289035533
"ORF , Uncharacterized (2)","LYS2","Yes","LYS2",0.163003484,2.57075663,"ORF , Uncharacterized (2)-LYS2",0.398524627066667
"RSC2","LYS2","Yes","LYS2",0.506407425,2.132936658,"RSC2-LYS2",0.582910546850394
"TRP3","LYS2","Yes","LYS2",0.615671713,1.274287325,"TRP3-LYS2",0.691446693061538
"TRP4","LYS2","Yes","LYS2",0.813315974,1.140723148,"TRP4-LYS2",0.853046926752874
"URA1","LYS2","Yes","LYS2",0.318337343,1.992765103,"URA1-LYS2",0.446038887504798
"VPS65","LYS2","Yes","LYS2",0.135608409,2.437664373,"VPS65-LYS2",0.386621581395349
"ADE2","ARG4","Yes","ARG4",0.808271287,1.181203696,"ADE2-ARG4",0.848975596417266
"ARG3","ARG4","Yes","ARG4",0.972746399,1.02077117,"ARG3-ARG4",0.978105883292011
"ECM29","ARG4","Yes","ARG4",0.018034709,1.533588733,"ECM29-ARG4",0.143460176315789
"HIS1","ARG4","Yes","ARG4",0.717880552,-1.115173096,"HIS1-ARG4",0.779840480595238
"HIS2","ARG4","Yes","ARG4",0.301767036,1.35349443,"HIS2-ARG4",0.439200985714286
"HIS4","ARG4","Yes","ARG4",0.200260516,-1.266955646,"HIS4-ARG4",0.406761187977273
"HIS6","ARG4","Yes","ARG4",0.245051057,1.550310896,"HIS6-ARG4",0.406761187977273
"LYS4","ARG4","Yes","ARG4",0.683110393,1.302010183,"LYS4-ARG4",0.75100992001506
"LYS9","ARG4","Yes","ARG4",0.387783393,1.499232113,"LYS9-ARG4",0.491461591822917
"MET1","ARG4","Yes","ARG4",0.742019287,1.237552704,"MET1-ARG4",0.798929320811209
"MET13","ARG4","Yes","ARG4",0.792715155,1.161542725,"MET13-ARG4",0.837455952460203
"MET7","ARG4","Yes","ARG4",0.672934982,-1.226178216,"MET7-ARG4",0.740938969622926
"ORF , Uncharacterized (2)","ARG4","Yes","ARG4",0.790529592,1.106612036,"ORF , Uncharacterized (2)-ARG4",0.836357394434783
"RPS24B","ARG4","Yes","ARG4",0.705118127,1.299374669,"RPS24B-ARG4",0.769411409133034
"RSC2","ARG4","Yes","ARG4",0.632354241,1.495009336,"RSC2-ARG4",0.705838831697248
"TRP4","ARG4","Yes","ARG4",0.182558729,1.79303809,"TRP4-ARG4",0.406311699063444
"TRP5","ARG4","Yes","ARG4",0.155715205,1.804726549,"TRP5-ARG4",0.390498389249147
"URA1","ARG4","Yes","ARG4",0.204796347,1.610815103,"URA1-ARG4",0.406761187977273
"VPS65","ARG4","Yes","ARG4",0.484101614,1.607876295,"VPS65-ARG4",0.566336824070513
"ADE2","LYS1","Yes","LYS1",0.441506003,2.277388493,"ADE2-LYS1",0.533285982975207
"ADE6","LYS1","Yes","ADE6",0.257128196,6.473133261,"ADE6-LYS1",0.412229301991247
"APT1","LYS1","Yes","LYS1",0.218884542,8.838988802,"APT1-LYS1",0.406761187977273
"ARG3","LYS1","Yes","ARG3",0.262263426,3.911857916,"ARG3-LYS1",0.414608509526882
"ECM29","LYS1","Yes","ECM29",0.277844657,2.878986173,"ECM29-LYS1",0.416481724045175
"IRC10","LYS1","Yes","IRC10",0.33549729,1.912636172,"IRC10-LYS1",0.454769262343173
"ISA1","LYS1","Yes","LYS1",0.258066837,3.52563638,"ISA1-LYS1",0.412229301991247
"LYS4","LYS1","Yes","LYS4",0.232161861,6.384219799,"LYS4-LYS1",0.406761187977273
"MET1","LYS1","Yes","MET1",0.316130042,2.909201245,"MET1-LYS1",0.444653045587669
"MET13","LYS1","Yes","MET13",0.143865576,3.229572715,"MET13-LYS1",0.389470243964286
"MET14","LYS1","Yes","MET14",0.26551118,1.86754412,"MET14-LYS1",0.414906514547368
"ORF , Uncharacterized (2)","LYS1","Yes","ORF , Uncharacterized (2)",0.130243546,6.076279554,"ORF , Uncharacterized (2)-LYS1",0.385928544501992
"RPS24B","LYS1","Yes","RPS24B",0.216238862,8.397022181,"RPS24B-LYS1",0.406761187977273
"TRP4","LYS1","Yes","TRP4",0.225245639,6.677389077,"TRP4-LYS1",0.406761187977273
"TRP5","LYS1","Yes","TRP5",0.433157373,2.098091596,"TRP5-LYS1",0.526131251730449
"URA1","LYS1","Yes","URA1",0.388460131,2.036349479,"URA1-LYS1",0.491466023622184
"VPS65","LYS1","Yes","VPS65",0.553452443,1.468450004,"VPS65-LYS1",0.629095483203732
"ARG1","HIS4","Yes","ARG1",0.037767415,4.37233716,"ARG1-HIS4",0.208865249621212
"ARG3","HIS4","Yes","HIS4",0.70649169,-1.208409906,"ARG3-HIS4",0.769759602537313
"HIS1","HIS4","Yes","HIS4",0.130971304,-1.66677213,"HIS1-HIS4",0.385928544501992
"ISA1","HIS4","Yes","HIS4",0.343567412,-1.453450451,"ISA1-HIS4",0.459348371355311
"MET10","HIS4","Yes","HIS4",0.02068766,1.854823819,"MET10-HIS4",0.151019918
"POS5","HIS4","Yes","POS5",0.218725671,1.247535223,"POS5-HIS4",0.406761187977273
"TRP4","HIS4","Yes","HIS4",0.369117086,-1.175322895,"TRP4-HIS4",0.47691234120354
"ARG8","MET5","Yes","MET5",0.317322025,-1.654248674,"ARG8-MET5",0.445471304326923
"ISA1","MET5","Yes","MET5",0.836505514,-1.095095193,"ISA1-MET5",0.872355750314286
"LYS1","MET5","Yes","MET5",0.386163371,-1.564281988,"LYS1-MET5",0.491113694825784
"MET10","MET5","Yes","MET5",0.416641387,1.41222326,"MET10-MET5",0.513017647855946
"MET7","MET5","Yes","MET5",0.941671144,-1.043343136,"MET7-MET5",0.950788292005532
"MHF2","MET5","Yes","MET5",0.3957683,1.364642867,"MHF2-MET5",0.498982485319516
"ORF , Uncharacterized (2)","MET5","Yes","MET5",0.223564869,-1.705361201,"ORF , Uncharacterized (2)-MET5",0.406761187977273
"POS5","MET5","Yes","POS5",0.055322779,1.861625557,"POS5-MET5",0.253997664591195
"RSC2","MET5","Yes","MET5",0.005248852,1.590627871,"RSC2-MET5",0.070956702962963
"TRP3","MET5","Yes","MET5",0.988122917,-1.003523649,"TRP3-MET5",0.989478366817558
"TRP4","MET5","Yes","MET5",0.159053952,1.705048853,"TRP4-MET5",0.394929880816327
"TRP5","MET5","Yes","MET5",0.722989431,-1.218882758,"TRP5-MET5",0.784223305542348
"ADE6","TRP2","Yes","TRP2",0.26224776,4.328316517,"ADE6-TRP2",0.414608509526882
"ARG3","TRP2","Yes","TRP2",0.241939709,4.555241087,"ARG3-TRP2",0.406761187977273
"ARO1","TRP2","Yes","TRP2",0.254260174,2.197386372,"ARO1-TRP2",0.41094165401766
"ARO7","TRP2","Yes","TRP2",0.077252209,4.230522919,"ARO7-TRP2",0.301572794491979
"ECM29","TRP2","Yes","ECM29",0.029580448,2.862800158,"ECM29-TRP2",0.185155883504274
"HIS1","TRP2","Yes","TRP2",0.27266028,2.559925803,"HIS1-TRP2",0.41527303643299
"IRC10","TRP2","Yes","TRP2",0.188828413,5.585586876,"IRC10-TRP2",0.406761187977273
"ISA1","TRP2","Yes","TRP2",0.191307431,2.951100627,"ISA1-TRP2",0.406761187977273
"LYS4","TRP2","Yes","TRP2",0.240058515,4.521202595,"LYS4-TRP2",0.406761187977273
"MET1","TRP2","Yes","MET1",0.141425561,5.641597721,"MET1-TRP2",0.389470243964286
"MET10","TRP2","Yes","TRP2",0.032404745,10.84429486,"MET10-TRP2",0.193420734715447
"MET13","TRP2","Yes","MET13",0.242949708,2.965541993,"MET13-TRP2",0.406761187977273
"MET14","TRP2","Yes","TRP2",0.142062259,4.152,"MET14-TRP2",0.389470243964286
"MHF2","TRP2","Yes","TRP2",0.191276306,5.196573634,"MHF2-TRP2",0.406761187977273
"ORF , Uncharacterized (2)","TRP2","Yes","TRP2",0.271932745,2.418367876,"ORF , Uncharacterized (2)-TRP2",0.41527303643299
"RPS24B","TRP2","Yes","TRP2",0.239776143,5.060958773,"RPS24B-TRP2",0.406761187977273
"TRP3","TRP2","Yes","TRP2",0.075542205,2.512919959,"TRP3-TRP2",0.297548333602151
"TRP4","TRP2","Yes","TRP2",0.001460056,13.14649869,"TRP4-TRP2",0.0322982084848485
"ADE2","LYS9","Yes","LYS9",0.857847123,1.120761637,"ADE2-LYS9",0.889528976974432
"ADE6","LYS9","Yes","LYS9",0.848602219,1.135883697,"ADE6-LYS9",0.883205718732194
"APT1","LYS9","Yes","LYS9",0.953139212,-1.037644481,"APT1-LYS9",0.959712585875862
"ARG3","LYS9","Yes","LYS9",0.777866924,1.198002029,"ARG3-LYS9",0.826554373391557
"ECM29","LYS9","Yes","LYS9",0.548159574,-1.268799651,"ECM29-LYS9",0.624269093634945
"HIS6","LYS9","Yes","LYS9",0.804161975,-1.120638201,"HIS6-LYS9",0.845876429034582
"ISA1","LYS9","Yes","LYS9",0.740272185,1.228478843,"ISA1-LYS9",0.798225546602659
"LYS2","LYS9","Yes","LYS9",0.900252155,1.086871971,"LYS2-LYS9",0.919138563846154
"MHF2","LYS9","Yes","LYS9",0.752323702,1.240266848,"MHF2-LYS9",0.806455657063142
"ORF , Uncharacterized (2)","LYS9","Yes","LYS9",0.323014899,-1.64789889,"ORF , Uncharacterized (2)-LYS9",0.451379243193117
"RPS24B","LYS9","Yes","LYS9",0.863033044,1.114867327,"RPS24B-LYS9",0.893637052652482
"RSC2","LYS9","Yes","LYS9",0.392350927,1.481914472,"RSC2-LYS9",0.495529717491349
"URA4","LYS9","Yes","LYS9",0.815650483,1.15930396,"URA4-LYS9",0.854268081190818
"ADE2","ARO7","Yes","ARO7",0.931815651,1.055371326,"ADE2-ARO7",0.946071523268428
"ADE6","ARO7","Yes","ARO7",0.937474585,1.048365398,"ADE6-ARO7",0.947862115027701
"APT1","ARO7","Yes","ARO7",0.853393313,1.132750839,"APT1-ARO7",0.886169443086771
"ARG3","ARO7","Yes","ARO7",0.996136872,1.002866232,"ARG3-ARO7",0.996136872
"HIS1","ARO7","Yes","ARO7",0.745699411,-1.161948761,"HIS1-ARO7",0.801709234212077
"HIS6","ARO7","Yes","ARO7",0.779229925,1.158884975,"HIS6-ARO7",0.826799193677326
"HMF1","ARO7","Yes","ARO7",0.936678566,1.051828996,"HMF1-ARO7",0.947862115027701
"ISA1","ARO7","Yes","ARO7",0.832370162,-1.117191536,"ISA1-ARO7",0.869285004663805
"LYS2","ARO7","Yes","ARO7",0.795571439,1.188798263,"LYS2-ARO7",0.839122655310245
"LYS4","ARO7","Yes","ARO7",0.950811617,-1.03728192,"LYS4-ARO7",0.95869127128453
"MHF2","ARO7","Yes","ARO7",0.455815023,1.266886367,"MHF2-ARO7",0.541348424130081
"ORF , Uncharacterized (2)","ARO7","Yes","ARO7",0.98309571,1.012863364,"ORF , Uncharacterized (2)-ARO7",0.987152501100413
"TRP3","ARO7","Yes","ARO7",0.739961665,1.057417742,"TRP3-ARO7",0.798225546602659
"TRP4","ARO7","Yes","ARO7",0.66407712,1.188089672,"TRP4-ARO7",0.733398332223903
"URA4","ARO7","Yes","ARO7",0.701821898,1.300892487,"URA4-ARO7",0.766961056197605
"ADE2","TRP5","Yes","TRP5",0.215393695,10.38891516,"ADE2-TRP5",0.406761187977273
"ADE6","TRP5","Yes","TRP5",0.219745079,9.547881006,"ADE6-TRP5",0.406761187977273
"APT1","TRP5","Yes","TRP5",0.223953865,8.746940431,"APT1-TRP5",0.406761187977273
"ARG1","TRP5","Yes","ARG1",0.025837601,2.623623062,"ARG1-TRP5",0.171467715727273
"ARG3","TRP5","Yes","ARG3",0.198097692,7.631113996,"ARG3-TRP5",0.406761187977273
"ARO1","TRP5","Yes","TRP5",0.336446855,2.209812233,"ARO1-TRP5",0.454769262343173
"ECM29","TRP5","Yes","ECM29",0.156734285,3.29259117,"ECM29-TRP5",0.390498389249147
"HIS1","TRP5","Yes","HIS1",0.046088112,4.830211701,"HIS1-TRP5",0.236931843380282
"HIS2","TRP5","Yes","HIS2",0.210260784,2.086212025,"HIS2-TRP5",0.406761187977273
"HIS4","TRP5","Yes","HIS4",0.0366866,3.284837372,"HIS4-TRP5",0.206023453129771
"HIS6","TRP5","Yes","HIS6",0.090524514,3.762255121,"HIS6-TRP5",0.320881644245283
"IRC10","TRP5","Yes","IRC10",0.339437048,6.831468024,"IRC10-TRP5",0.455521972610294
"ISA1","TRP5","Yes","TRP5",0.153361792,7.063940273,"ISA1-TRP5",0.390114884513889
"LYS2","TRP5","Yes","LYS2",0.305837749,4.231409706,"LYS2-TRP5",0.439200985714286
"LYS4","TRP5","Yes","TRP5",0.182413664,9.697066589,"LYS4-TRP5",0.406311699063444
"LYS5","TRP5","Yes","TRP5",0.353564047,2.599560059,"LYS5-TRP5",0.468639098947368
"ORF , Uncharacterized (1)","TRP5","Yes","ORF , Uncharacterized (1)",0.45190498,2.083333448,"ORF , Uncharacterized (1)-TRP5",0.539919206873977
"ORF , Uncharacterized (2)","TRP5","Yes","ORF , Uncharacterized (2)",0.146374553,6.014951062,"ORF , Uncharacterized (2)-TRP5",0.389470243964286
"RPS24B","TRP5","Yes","RPS24B",0.209048975,10.52258112,"RPS24B-TRP5",0.406761187977273
"RSC2","TRP5","Yes","TRP5",0.240945528,6.125935449,"RSC2-TRP5",0.406761187977273
"URA4","TRP5","Yes","URA4",0.448582891,1.537615028,"URA4-TRP5",0.536828705622951
"ADE1","ARO2","Yes","ARO2",0.000263884,20.99115047,"ADE1-ARO2",0.00917311047619047
"ADE5,7","ARO2","Yes","ARO2",0.047060746,2.170811652,"ADE5,7-ARO2",0.238571837361111
"ADE6","ARO2","Yes","ARO2",0.210852635,9.704110401,"ADE6-ARO2",0.406761187977273
"ADE8","ARO2","Yes","ARO2",0.202467781,6.663646365,"ADE8-ARO2",0.406761187977273
"ARG1","ARO2","Yes","ARG1",0.121392337,2.792680196,"ARG1-ARO2",0.381967267284483
"ARO1","ARO2","Yes","ARO2",0.07537777,2.641658377,"ARO1-ARO2",0.297548333602151
"ARO7","ARO2","Yes","ARO7",0.183656899,4.675366655,"ARO7-ARO2",0.406311699063444
"ECM29","ARO2","Yes","ARO2",0.009609368,15.82486956,"ECM29-ARO2",0.0942535801333333
