"A","B","synergy","nearest.monoculture","t.test_p.value","fold.change.48","Cocul","p.value.adj"
"MET3","ARG8","Yes","MET3",0.009674283,3.685360648,"MET3-ARG8",0.0942535801333333
"ADE1","VPH2","Yes","ADE1",0.003544501,13.28341726,"ADE1-VPH2",0.0582978486666667
"ADE2","VPH2","Yes","VPH2",0.215354141,9.023758008,"ADE2-VPH2",0.406761187977273
"ADE5,7","VPH2","Yes","ADE5,7",0.001570317,2.43443445,"ADE5,7-VPH2",0.032752326
"ADE6","VPH2","Yes","ADE6",0.235607726,5.230226708,"ADE6-VPH2",0.406761187977273
"ADE8","VPH2","Yes","VPH2",0.244594052,5.358546934,"ADE8-VPH2",0.406761187977273
"ARG1","VPH2","Yes","ARG1",0.315480849,2.265094748,"ARG1-VPH2",0.444596563262548
"ARG4","VPH2","Yes","ARG4",0.218494396,3.976708344,"ARG4-VPH2",0.406761187977273
"ARO1","VPH2","Yes","ARO1",0.359781247,2.574317046,"ARO1-VPH2",0.470327266457961
"ARO2","VPH2","Yes","VPH2",0.184231743,6.034997394,"ARO2-VPH2",0.406311699063444
"ARO7","VPH2","Yes","ARO7",0.137797849,2.409442426,"ARO7-VPH2",0.386893960653846
"ERG4","VPH2","Yes","VPH2",0.237514629,1.979612053,"ERG4-VPH2",0.406761187977273
"HIS4","VPH2","Yes","HIS4",0.221984044,2.300486518,"HIS4-VPH2",0.406761187977273
"HIS6","VPH2","Yes","HIS6",0.07010319,5.807387372,"HIS6-VPH2",0.295811148554913
"ILV1","VPH2","Yes","ILV1",0.357835736,2.147899608,"ILV1-VPH2",0.470327266457961
"ISA1","VPH2","Yes","ISA1",0.074314363,9.096751591,"ISA1-VPH2",0.297548333602151
"LAG1","VPH2","Yes","LAG1",0.324629316,4.357170976,"LAG1-VPH2",0.452250764656489
"LYS2","VPH2","Yes","LYS2",0.492005444,1.908385612,"LYS2-VPH2",0.573744367603834
"LYS4","VPH2","Yes","LYS4",0.192896882,4.905064303,"LYS4-VPH2",0.406761187977273
"LYS9","VPH2","Yes","LYS9",0.149252012,5.3090141,"LYS9-VPH2",0.389470243964286
"MET3","VPH2","Yes","MET3",0.20299031,5.940277601,"MET3-VPH2",0.406761187977273
"ORF , Uncharacterized (2)","VPH2","Yes","ORF , Uncharacterized (2)",0.074218485,5.163693386,"ORF , Uncharacterized (2)-VPH2",0.297548333602151
"PEX35","VPH2","Yes","PEX35",0.20586131,6.691482498,"PEX35-VPH2",0.406761187977273
"RPL27A","VPH2","Yes","RPL27A",0.126015166,9.817659962,"RPL27A-VPH2",0.385928544501992
"RPS24B","VPH2","Yes","VPH2",0.216582388,8.643530729,"RPS24B-VPH2",0.406761187977273
"TRP2","VPH2","Yes","VPH2",0.409795442,1.530855229,"TRP2-VPH2",0.511166387679181
"TRP4","VPH2","Yes","TRP4",0.032994599,4.211941871,"TRP4-VPH2",0.19424239733871
"TRP5","VPH2","Yes","TRP5",0.337521168,5.574204115,"TRP5-VPH2",0.454769262343173
"URA1","VPH2","Yes","URA1",0.148247207,5.31989353,"URA1-VPH2",0.389470243964286
"URA4","VPH2","Yes","VPH2",0.507052325,1.472274427,"URA4-VPH2",0.582910546850394
"ADE1","MET7","Yes","ADE1",0.323385403,3.965379741,"ADE1-MET7",0.451379243193117
"ADE2","MET7","Yes","ADE2",0.466667942,2.18270778,"ADE2-MET7",0.549987367854839
"ADE6","MET7","Yes","ADE6",0.547306538,-2.198757684,"ADE6-MET7",0.624269093634945
"ARG4","MET7","Yes","ARG4",0.363539792,3.08094659,"ARG4-MET7",0.470539092482269
"ARO1","MET7","Yes","ARO1",0.440010199,1.268958402,"ARO1-MET7",0.533285982975207
"ARO2","MET7","Yes","ARO2",0.295847835,9.095862575,"ARO2-MET7",0.434545109758551
"HIS6","MET7","Yes","HIS6",0.268397778,3.365171328,"HIS6-MET7",0.414906514547368
"ILV1","MET7","Yes","ILV1",0.645590145,1.31512649,"ILV1-MET7",0.716232227735562
"ISA1","MET7","Yes","ISA1",0.334146165,5.163684013,"ISA1-MET7",0.454769262343173
"LYS2","MET7","Yes","LYS2",0.091356977,8.143964918,"LYS2-MET7",0.320881644245283
"RPL27A","MET7","Yes","RPL27A",0.201151202,7.340372033,"RPL27A-MET7",0.406761187977273
"RPS24B","MET7","Yes","RPS24B",0.383426279,10.40506404,"RPS24B-MET7",0.488869894572426
"TRP5","MET7","Yes","TRP5",0.216351435,8.231861254,"TRP5-MET7",0.406761187977273
"URA1","MET7","Yes","URA1",0.249834728,5.31200566,"URA1-MET7",0.409192591053812
"ADE8","LYS4","Yes","LYS4",0.192659799,2.846688142,"ADE8-LYS4",0.406761187977273
"ARG2","LYS4","Yes","ARG2",0.107160671,2.711024545,"ARG2-LYS4",0.357202236666667
"ARG3","LYS4","Yes","LYS4",0.33945747,3.410252818,"ARG3-LYS4",0.455521972610294
"ARG4","LYS4","Yes","LYS4",0.228785595,4.847319172,"ARG4-LYS4",0.406761187977273
"HIS6","LYS4","Yes","LYS4",0.147576575,4.835489605,"HIS6-LYS4",0.389470243964286
"LYS2","LYS4","Yes","LYS4",0.07152051,10.41340835,"LYS2-LYS4",0.297491648977273
"MET10","LYS4","Yes","LYS4",0.180715621,5.802208757,"MET10-LYS4",0.406311699063444
"MET14","LYS4","Yes","LYS4",0.173171591,2.20946418,"MET14-LYS4",0.406311699063444
"MET3","LYS4","Yes","LYS4",0.020548704,2.55457437,"MET3-LYS4",0.151019918
"TRP4","LYS4","Yes","LYS4",0.005920531,4.066562071,"TRP4-LYS4",0.0749844168965517
"URA1","LYS4","Yes","LYS4",0.28426724,3.509621712,"URA1-LYS4",0.423375471405295
"VPS65","LYS4","Yes","VPS65",0.131596052,2.500880994,"VPS65-LYS4",0.385928544501992
"ADE6","ARG1","Yes","ARG1",0.447928676,1.582668143,"ADE6-ARG1",0.536828705622951
"ADE8","ARG1","Yes","ARG1",0.117554534,3.326162821,"ADE8-ARG1",0.378038809779736
"APL2","ARG1","Yes","APL2",0.010038846,2.090785592,"APL2-ARG1",0.0951734750649351
"ARG2","ARG1","Yes","ARG2",0.063367521,2.677571112,"ARG2-ARG1",0.272107590176471
"ARO2","ARG1","Yes","ARG1",0.238291946,2.673952032,"ARO2-ARG1",0.406761187977273
"BUD16","ARG1","Yes","ARG1",0.160237796,2.558201348,"BUD16-ARG1",0.396520647728814
"ECM29","ARG1","Yes","ECM29",0.419253415,1.452096848,"ECM29-ARG1",0.513017647855946
"FCY22","ARG1","Yes","ARG1",0.140527922,1.664472679,"FCY22-ARG1",0.389470243964286
"HIS6","ARG1","Yes","ARG1",0.769136907,1.057894337,"HIS6-ARG1",0.819664149065694
"ILV1","ARG1","Yes","ILV1",0.135874003,1.936781877,"ILV1-ARG1",0.386621581395349
"LAG1","ARG1","Yes","LAG1",0.467112559,1.316889607,"LAG1-ARG1",0.549987367854839
"LYS12","ARG1","Yes","LYS12",0.1366416,2.649356609,"LYS12-ARG1",0.386621581395349
"LYS5","ARG1","Yes","ARG1",0.530115449,1.175870962,"LYS5-ARG1",0.606558429106583
"LYS9","ARG1","Yes","ARG1",0.177001448,3.360108969,"LYS9-ARG1",0.406311699063444
"MET14","ARG1","Yes","ARG1",0.135125665,5.504093628,"MET14-ARG1",0.386621581395349
"MET3","ARG1","Yes","MET3",0.182389065,3.365502223,"MET3-ARG1",0.406311699063444
"ORF , Uncharacterized (1)","ARG1","Yes","ORF , Uncharacterized (1)",0.051101202,1.806060659,"ORF , Uncharacterized (1)-ARG1",0.245420246447368
"ORF , Uncharacterized (2)","ARG1","Yes","ARG1",0.31227206,5.079674453,"ORF , Uncharacterized (2)-ARG1",0.44133024729207
"PEX35","ARG1","Yes","ARG1",0.00933513,1.744051274,"PEX35-ARG1",0.0942535801333333
"RPL27A","ARG1","Yes","ARG1",0.026863166,2.178672935,"RPL27A-ARG1",0.172018519122807
"RSC2","ARG1","Yes","RSC2",0.021133135,2.708753896,"RSC2-ARG1",0.151470133333333
"TRP4","ARG1","Yes","ARG1",0.03510943,2.618302631,"TRP4-ARG1",0.20113636390625
"TRP5","ARG1","Yes","ARG1",0.120149522,3.151423604,"TRP5-ARG1",0.381967267284483
"APL2","ARO1","Yes","APL2",0.144618411,3.347052669,"APL2-ARO1",0.389470243964286
"ARG5,6","ARO1","Yes","ARO1",0.362230523,6.583108746,"ARG5,6-ARO1",0.470539092482269
"ARO2","ARO1","Yes","ARO1",0.236890926,1.893096781,"ARO2-ARO1",0.406761187977273
"HIS6","ARO1","Yes","ARO1",0.55412109,1.169265614,"HIS6-ARO1",0.629095483203732
"ISA1","ARO1","Yes","ARO1",0.331629012,2.041359079,"ISA1-ARO1",0.454769262343173
"LYS1","ARO1","Yes","ARO1",0.352770289,2.706273756,"LYS1-ARO1",0.468639098947368
"LYS12","ARO1","Yes","LYS12",0.011039641,3.976102578,"LYS12-ARO1",0.102011872531646
"LYS2","ARO1","Yes","ARO1",0.445742065,1.470322563,"LYS2-ARO1",0.536065415897858
"LYS9","ARO1","Yes","ARO1",0.137683154,4.212852582,"LYS9-ARO1",0.386893960653846
"MET14","ARO1","Yes","MET14",0.181446947,2.302426981,"MET14-ARO1",0.406311699063444
"PEX35","ARO1","Yes","ARO1",0.098067664,2.157897469,"PEX35-ARO1",0.332973928930233
"RPL27A","ARO1","Yes","ARO1",0.005455536,6.060629421,"RPL27A-ARO1",0.0711168085714286
"TRP4","ARO1","Yes","ARO1",0.020555347,4.480890518,"TRP4-ARO1",0.151019918
"TRP5","ARO1","Yes","ARO1",0.239476239,2.793030382,"TRP5-ARO1",0.406761187977273
"VPS65","ARO1","Yes","VPS65",0.407804716,1.403563642,"VPS65-ARO1",0.51053029875
"ECM29","ARG3","Yes","ARG3",0.161653899,1.661914357,"ECM29-ARG3",0.397331132222222
"HIS2","ARG3","Yes","HIS2",0.008172254,2.629721364,"HIS2-ARG3",0.0903900821212121
"HIS6","ARG3","Yes","ARG3",0.32934336,2.508193183,"HIS6-ARG3",0.454481385255198
"IRC10","ARG3","Yes","ARG3",0.211790035,1.295946456,"IRC10-ARG3",0.406761187977273
"ISA1","ARG3","Yes","ARG3",0.628875912,1.337971527,"ISA1-ARG3",0.704109533374233
"LYS12","ARG3","Yes","ARG3",0.006576353,3.469690437,"LYS12-ARG3",0.0774312530645161
"LYS9","ARG3","Yes","ARG3",0.201972456,1.952762539,"LYS9-ARG3",0.406761187977273
"ORF , Uncharacterized (2)","ARG3","Yes","ARG3",0.714960906,1.21312213,"ORF , Uncharacterized (2)-ARG3",0.777826320983606
"PEX35","ARG3","Yes","ARG3",0.490882681,1.316783925,"PEX35-ARG3",0.573350971408
"VPS65","ARG3","Yes","ARG3",0.038860102,3.685944171,"VPS65-ARG3",0.211700555671642
"ARO7","ORT1","Yes","ORT1",0.156268731,1.532116066,"ARO7-ORT1",0.390498389249147
"ECM29","ORT1","Yes","ORT1",0.178911477,1.675440023,"ECM29-ORT1",0.406311699063444
"HIS6","ORT1","Yes","ORT1",0.185627976,1.443482312,"HIS6-ORT1",0.406761187977273
"IRC10","ORT1","Yes","ORT1",0.002372121,2.234237934,"IRC10-ORT1",0.0455696928947368
"LYS12","ORT1","Yes","ORT1",0.004587169,2.137878711,"LYS12-ORT1",0.0649845298076923
"LYS9","ORT1","Yes","ORT1",0.058977224,1.539581746,"LYS9-ORT1",0.260933996121212
"MET1","ORT1","Yes","ORT1",0.014198461,2.477567128,"MET1-ORT1",0.121939723882353
"MET14","ORT1","Yes","MET14",0.000116518,11.55871595,"MET14-ORT1",0.00500342
"MET3","ORT1","Yes","MET3",0.000626651,8.483356594,"MET3-ORT1",0.0182982092
"PEX35","ORT1","Yes","ORT1",0.009071747,1.558332771,"PEX35-ORT1",0.0942535801333333
"RSC2","ORT1","Yes","ORT1",0.009031873,1.614846324,"RSC2-ORT1",0.0942535801333333
"URA4","ORT1","Yes","ORT1",0.029675669,2.450569677,"URA4-ORT1",0.185155883504274
"LYS1","ADE8","Yes","LYS1",0.502741127,1.779769581,"LYS1-ADE8",0.581618102551505
"LYS12","ADE8","Yes","ADE8",0.151521396,3.101653237,"LYS12-ADE8",0.390114884513889
"MET1","ADE8","Yes","ADE8",0.173067591,4.199331292,"MET1-ADE8",0.406311699063444
"ORF , Uncharacterized (1)","ADE8","Yes","ORF , Uncharacterized (1)",0.289281817,3.444742086,"ORF , Uncharacterized (1)-ADE8",0.429218956117886
"ADE2","ISA1","Yes","ISA1",0.418746285,2.116453274,"ADE2-ISA1",0.513017647855946
"ARO7","ISA1","Yes","ISA1",0.418542997,3.350084803,"ARO7-ISA1",0.513017647855946
"BUD16","ISA1","Yes","BUD16",0.152603453,4.30073741,"BUD16-ISA1",0.390114884513889
"ECM29","ISA1","Yes","ECM29",0.242920083,2.25070622,"ECM29-ISA1",0.406761187977273
"FCY22","ISA1","Yes","FCY22",0.76639706,1.257773284,"FCY22-ISA1",0.817938382748538
"LYS9","ISA1","Yes","LYS9",0.353726224,2.519770871,"LYS9-ISA1",0.468639098947368
"ORF , Uncharacterized (2)","ISA1","Yes","ISA1",0.275124826,3.826275993,"ORF , Uncharacterized (2)-ISA1",0.41527303643299
"RPS24B","ISA1","Yes","ISA1",0.336486239,3.098463396,"RPS24B-ISA1",0.454769262343173
"TRP4","ISA1","Yes","ISA1",0.269136056,1.665166374,"TRP4-ISA1",0.414906514547368
"ADE2","ADE6","Yes","ADE6",0.471957993,1.897148198,"ADE2-ADE6",0.553905683102894
"APT1","ADE6","Yes","ADE6",0.216154574,2.831208402,"APT1-ADE6",0.406761187977273
"ARG3","ADE6","Yes","ADE6",0.331087556,2.396586032,"ARG3-ADE6",0.454769262343173
"BUD16","ADE6","Yes","BUD16",0.178141866,4.526198639,"BUD16-ADE6",0.406311699063444
"ECM29","ADE6","Yes","ECM29",0.094573333,1.693295573,"ECM29-ADE6",0.324124568497653
"LAG1","ADE6","Yes","ADE6",0.035010231,11.08068175,"LAG1-ADE6",0.20113636390625
"LYS2","ADE6","Yes","ADE6",0.363000283,2.486453088,"LYS2-ADE6",0.470539092482269
"LYS9","ADE6","Yes","LYS9",0.256412956,1.776383926,"LYS9-ADE6",0.412229301991247
"MET3","ADE6","Yes","MET3",0.269973417,3.755555645,"MET3-ADE6",0.414906514547368
"MHF2","ADE6","Yes","ADE6",0.088352235,2.248265681,"MHF2-ADE6",0.320881251492537
"ORF , Uncharacterized (2)","ADE6","Yes","ADE6",0.412790125,4.400302137,"ORF , Uncharacterized (2)-ADE6",0.511607455432937
"RPL27A","ADE6","Yes","RPL27A",0.132695979,3.217191514,"RPL27A-ADE6",0.385928544501992
"TRP4","ADE6","Yes","TRP4",0.000722623,3.386815015,"TRP4-ADE6",0.0202890303846154
"URA1","ADE6","Yes","URA1",0.240328573,2.261939967,"URA1-ADE6",0.406761187977273
"URA4","ADE6","Yes","URA4",0.376844705,3.810548234,"URA4-ADE6",0.484325061003521
"ADE2","MET3","Yes","MET3",0.746943032,-1.212501171,"ADE2-MET3",0.801865313764706
"ADE5,7","MET3","Yes","ADE5,7",0.01269419,9.189937001,"ADE5,7-MET3",0.111647695180723
"APT1","MET3","Yes","APT1",0.248697086,5.988581118,"APT1-MET3",0.409192591053812
"ARG3","MET3","Yes","MET3",0.643796141,1.244645579,"ARG3-MET3",0.715329045555556
"ARO7","MET3","Yes","MET3",0.125930234,-1.535414543,"ARO7-MET3",0.385928544501992
"HIS1","MET3","Yes","MET3",0.032146348,1.867902958,"HIS1-MET3",0.193420734715447
"HIS2","MET3","Yes","HIS2",0.002573467,9.672606777,"HIS2-MET3",0.0481700233333333
"HIS4","MET3","Yes","MET3",0.359130886,1.225022901,"HIS4-MET3",0.470327266457961
"LYS2","MET3","Yes","MET3",0.737222957,1.313558599,"LYS2-MET3",0.798225546602659
"MHF2","MET3","Yes","MET3",0.882158789,1.140808754,"MHF2-MET3",0.90828761067701
"ORF , Uncharacterized (2)","MET3","Yes","MET3",0.914660102,1.074698576,"ORF , Uncharacterized (2)-MET3",0.929946900362117
"TRP3","MET3","Yes","MET3",0.201381192,1.253055033,"TRP3-MET3",0.406761187977273
"TRP4","MET3","Yes","TRP4",0.001116765,18.26144161,"TRP4-MET3",0.0276309136666667
"URA4","MET3","Yes","MET3",0.57200468,1.467037165,"URA4-MET3",0.648390398136646
"YEA4","MET3","Yes","MET3",0.411907964,1.792448737,"YEA4-MET3",0.511607455432937
"ADE2","LYS5","Yes","LYS5",0.796591781,1.199329522,"ADE2-LYS5",0.839122655310245
"APT1","LYS5","Yes","LYS5",0.909140106,1.077442316,"APT1-LYS5",0.926916588519553
"ARG3","LYS5","Yes","LYS5",0.897646009,1.082602522,"ARG3-LYS5",0.919048508513324
"ARO7","LYS5","Yes","LYS5",0.987044947,1.008811575,"ARO7-LYS5",0.989478366817558
"ECM29","LYS5","Yes","LYS5",0.623803252,1.203282484,"ECM29-LYS5",0.69950287858679
"HIS1","LYS5","Yes","LYS5",0.582063771,-1.307878236,"HIS1-LYS5",0.658769849348837
"IRC10","LYS5","Yes","IRC10",0.120939178,4.563736599,"IRC10-LYS5",0.381967267284483
"LAG1","LYS5","Yes","LYS5",0.047766319,3.197845963,"LAG1-LYS5",0.240478709448276
"LYS2","LYS5","Yes","LYS5",0.755929778,1.228868215,"LYS2-LYS5",0.807948371800879
"MET13","LYS5","Yes","LYS5",0.633806666,-1.334518793,"MET13-LYS5",0.706379948366412
"MET7","LYS5","Yes","LYS5",0.849329335,-1.075177245,"MET7-LYS5",0.883205718732194
"MHF2","LYS5","Yes","LYS5",0.447191397,1.279819149,"MHF2-LYS5",0.536828705622951
"ORF , Uncharacterized (2)","LYS5","Yes","LYS5",0.899530991,1.083920467,"ORF , Uncharacterized (2)-LYS5",0.919138563846154
"TRP4","LYS5","Yes","LYS5",0.58479323,-1.099982454,"TRP4-LYS5",0.66083445495356
"URA1","LYS5","Yes","LYS5",0.505783509,1.301342089,"URA1-LYS5",0.582910546850394
"ADE5,7","MET1","Yes","MET1",0.738484182,1.11515349,"ADE5,7-MET1",0.798225546602659
"ARG1","MET1","Yes","MET1",0.058978232,1.644326012,"ARG1-MET1",0.260933996121212
"ARO1","MET1","Yes","MET1",0.630371173,1.212946656,"ARO1-MET1",0.704702842710567
"ARO7","MET1","Yes","MET1",0.06068356,8.157038858,"ARO7-MET1",0.266861438554217
"ECM29","MET1","Yes","MET1",0.03810499,8.539912962,"ECM29-MET1",0.209147689473684
"HIS1","MET1","Yes","MET1",0.089812631,5.570320632,"HIS1-MET1",0.320881644245283
"HIS2","MET1","Yes","HIS2",5.05e-05,5.861385905,"HIS2-MET1",0.00305035714285714
"HIS4","MET1","Yes","MET1",0.054780176,3.789419552,"HIS4-MET1",0.253098281518987
"IBA57","MET1","Yes","MET1",0.383729383,4.273069831,"IBA57-MET1",0.488869894572426
"LAG1","MET1","Yes","MET1",0.166333592,5.797941112,"LAG1-MET1",0.403400405847176
"LYS1","MET1","Yes","MET1",0.440962153,3.253243845,"LYS1-MET1",0.533285982975207
"MET7","MET1","Yes","MET1",0.080666514,6.381975309,"MET7-MET1",0.30511168507772
"MHF2","MET1","Yes","MET1",0.026157704,7.911130535,"MHF2-MET1",0.172018519122807
"ORF , Uncharacterized (1)","MET1","Yes","ORF , Uncharacterized (1)",0.44196989,1.65865111,"ORF , Uncharacterized (1)-MET1",0.533285982975207
"TRP3","MET1","Yes","MET1",0.222998858,2.708896521,"TRP3-MET1",0.406761187977273
"TRP4","MET1","Yes","TRP4",0.000311642,17.10783634,"TRP4-MET1",0.0103408481818182
"TRP5","MET1","Yes","MET1",0.241443448,4.787844345,"TRP5-MET1",0.406761187977273
"URA1","MET1","Yes","MET1",0.04389418,6.759011882,"URA1-MET1",0.230508496595745
"YEA4","MET1","Yes","YEA4",0.214251039,3.413124748,"YEA4-MET1",0.406761187977273
"ARG8","HIS6","Yes","HIS6",0.698436841,1.283203083,"ARG8-HIS6",0.765435336041979
"ARO2","HIS6","Yes","HIS6",0.003018065,2.24294301,"ARO2-HIS6",0.052456844047619
"ARO7","HIS6","Yes","HIS6",0.505601412,1.472393932,"ARO7-HIS6",0.582910546850394
"ECM29","HIS6","Yes","HIS6",0.268491824,1.417698702,"ECM29-HIS6",0.414906514547368
"ERG4","HIS6","Yes","ERG4",0.064560407,4.269476469,"ERG4-HIS6",0.27560875502924
"HIS1","HIS6","Yes","HIS6",0.637138796,1.230413562,"HIS1-HIS6",0.709011160182927
"HIS4","HIS6","Yes","HIS6",0.894403417,1.050562637,"HIS4-HIS6",0.917210282963483
"HMF1","HIS6","Yes","HIS6",0.24982784,2.136467163,"HMF1-HIS6",0.409192591053812
"IBA57","HIS6","Yes","HIS6",0.608998492,1.410750254,"IBA57-HIS6",0.686063115987654
"ILV1","HIS6","Yes","HIS6",0.913857919,-1.029643689,"ILV1-HIS6",0.929946900362117
"IRC10","HIS6","Yes","HIS6",0.034649442,2.434674802,"IRC10-HIS6",0.20113636390625
"LYS1","HIS6","Yes","HIS6",0.362223789,-1.558192147,"LYS1-HIS6",0.470539092482269
"LYS12","HIS6","Yes","HIS6",0.000597088,3.241239261,"LYS12-HIS6",0.0181614266666667
"LYS4","HIS6","Yes","HIS6",0.602351878,1.414784981,"LYS4-HIS6",0.679624220927357
"LYS9","HIS6","Yes","HIS6",0.17580922,1.311783358,"LYS9-HIS6",0.406311699063444
"MET13","HIS6","Yes","HIS6",0.784115064,1.170898903,"MET13-HIS6",0.830775031523948
"MET7","HIS6","Yes","HIS6",0.248335597,2.013851522,"MET7-HIS6",0.409192591053812
"MHF2","HIS6","Yes","MHF2",8.71e-06,10.77749304,"MHF2-HIS6",0.00105971666666667
"ORF , Uncharacterized (1)","HIS6","Yes","HIS6",0.417868049,-1.566124116,"ORF , Uncharacterized (1)-HIS6",0.513017647855946
"ORF , Uncharacterized (2)","HIS6","Yes","HIS6",0.699377218,1.295531463,"ORF , Uncharacterized (2)-HIS6",0.765435336041979
"ORT1","HIS6","Yes","HIS6",0.497283286,1.221670617,"ORT1-HIS6",0.57766249745628
"RPL27A","HIS6","Yes","HIS6",0.075357601,1.992033751,"RPL27A-HIS6",0.297548333602151
"RSC2","HIS6","Yes","HIS6",0.879318533,1.062405248,"RSC2-HIS6",0.906641990240113
"TRP2","HIS6","Yes","HIS6",0.77752758,1.193875045,"TRP2-HIS6",0.826554373391557
"TRP3","HIS6","Yes","HIS6",0.457461831,1.465706162,"TRP3-HIS6",0.542121975048701
"TRP5","HIS6","Yes","HIS6",0.894594139,-1.057969418,"TRP5-HIS6",0.917210282963483
"VPS65","HIS6","Yes","HIS6",0.056184678,2.553628496,"VPS65-HIS6",0.256342593375
"ADE5,7","TRP4","Yes","TRP4",0.093187546,1.290673936,"ADE5,7-TRP4",0.320881644245283
"ARG1","TRP4","Yes","TRP4",0.02169948,2.025312091,"ARG1-TRP4",0.152229340285714
"ARG8","TRP4","Yes","TRP4",0.455077092,1.854223947,"ARG8-TRP4",0.541348424130081
"ARO1","TRP4","Yes","ARO1",0.001541424,4.155251247,"ARO1-TRP4",0.032752326
"ARO2","TRP4","Yes","TRP4",0.044522874,6.940913219,"ARO2-TRP4",0.230508496595745
"ARO7","TRP4","Yes","ARO7",0.070949943,4.171007624,"ARO7-TRP4",0.297491648977273
"ECM29","TRP4","Yes","ECM29",0.021896001,4.194667791,"ECM29-TRP4",0.152229340285714
"ERG4","TRP4","Yes","TRP4",0.219139776,2.184262077,"ERG4-TRP4",0.406761187977273
"HIS1","TRP4","Yes","TRP4",0.008710556,3.283040185,"HIS1-TRP4",0.0935103805882353
"HIS4","TRP4","Yes","HIS4",0.000147429,3.947958567,"HIS4-TRP4",0.00566437736842105
"IRC10","TRP4","Yes","IRC10",4.18e-08,22.87075352,"IRC10-TRP4",3.0514e-05
"LAG1","TRP4","Yes","TRP4",0.012105129,8.778086254,"LAG1-TRP4",0.109095607037037
"LYS12","TRP4","Yes","TRP4",0.005406722,6.995245079,"LYS12-TRP4",0.0711168085714286
"LYS9","TRP4","Yes","LYS9",0.008601039,3.709062128,"LYS9-TRP4",0.0935103805882353
"MET13","TRP4","Yes","TRP4",0.171003188,2.92150102,"MET13-TRP4",0.406311699063444
"MET14","TRP4","Yes","MET14",0.004026513,13.06666603,"MET14-TRP4",0.0616426892
"MET7","TRP4","Yes","TRP4",0.20318082,2.728160157,"MET7-TRP4",0.406761187977273
"MHF2","TRP4","Yes","TRP4",0.100757764,3.485340083,"MHF2-TRP4",0.34052392462963
"ORF , Uncharacterized (1)","TRP4","Yes","TRP4",0.205092343,4.494239014,"ORF , Uncharacterized (1)-TRP4",0.406761187977273
"ORF , Uncharacterized (2)","TRP4","Yes","TRP4",0.258907182,3.268012185,"ORF , Uncharacterized (2)-TRP4",0.412668652532751
"ORT1","TRP4","Yes","ORT1",0.004629035,6.772575183,"ORT1-TRP4",0.0649845298076923
"RSC2","TRP4","Yes","RSC2",0.000131813,6.776819184,"RSC2-TRP4",0.00534574944444444
"TRP2","TRP4","Yes","TRP4",0.267311566,3.752665194,"TRP2-TRP4",0.414906514547368
"TRP3","TRP4","Yes","TRP4",0.142883532,4.084726236,"TRP3-TRP4",0.389470243964286
"VPS65","TRP4","Yes","VPS65",0.062555061,1.698401311,"VPS65-TRP4",0.270242639408284
