ORF,Gene,row_384,column_384
YER091C,MET6,A,1
YER091C,MET6,A,2
YPR074C,TKL1,A,3
YPR074C,TKL1,A,4
YOR241W,MET7,A,5
YOR241W,MET7,A,6
YNL316C,PHA2,A,7
YNL316C,PHA2,A,8
YGL125W,MET13,A,9
YGL125W,MET13,A,10
YDR354W,TRP4,A,11
YDR354W,TRP4,A,12
YNR050C,LYS9,A,13
YNR050C,LYS9,A,14
YPR060C,ARO7,A,15
YPR060C,ARO7,A,16
YJL071W,ARG2,A,17
YJL071W,ARG2,A,18
YIR034C,LYS1,A,19
YIR034C,LYS1,A,20
YGL026C,TRP5,A,21
YGL026C,TRP5,A,22
YER090W,TRP2,A,23
YER090W,TRP2,A,24
YPL075W,GCR1,B,1
YPL075W,GCR1,B,2
YHR090C,YNG2,B,3
YHR090C,YNG2,B,4
YHR141C,RPL42B,B,5
YHR141C,RPL42B,B,6
YHL003C,LAG1,B,7
YHL003C,LAG1,B,8
YEL004W,YEA4,B,9
YEL004W,YEA4,B,10
YEL027W,VMA3,B,11
YEL027W,VMA3,B,12
YEL051W,VMA8,B,13
YEL051W,VMA8,B,14
YHL030W,ECM29,B,15
YHL030W,ECM29,B,16
YHR183W,GND1,B,17
YHR183W,GND1,B,18
YLR027C,AAT2,B,19
YLR027C,AAT2,B,20
YLR069C,MEF1,B,21
YLR069C,MEF1,B,22
YLR322W,VPS65,B,23
YLR322W,VPS65,B,24
YOR323C,PRO2,C,1
YOR323C,PRO2,C,2
YOL058W,ARG1,C,3
YOL058W,ARG1,C,4
YDR234W,LYS4,C,5
YDR234W,LYS4,C,6
YDR127W,ARO1,C,7
YDR127W,ARO1,C,8
YHR018C,ARG4,C,9
YHR018C,ARG4,C,10
YOL140W,ARG8,C,11
YOL140W,ARG8,C,12
YJL088W,ARG3,C,13
YJL088W,ARG3,C,14
YIL094C,LYS12,C,15
YIL094C,LYS12,C,16
YGL154C,LYS5,C,17
YGL154C,LYS5,C,18
YGL148W,ARO2,C,19
YGL148W,ARO2,C,20
YBR115C,LYS2,C,21
YBR115C,LYS2,C,22
YIL128W,MET18,C,23
YIL128W,MET18,C,24
YOR187W,TUF1,D,1
YOR187W,TUF1,D,2
YIL069C,RPS24B,D,3
YIL069C,RPS24B,D,4
YAL047C,SPC72,D,5
YAL047C,SPC72,D,6
YDL198C,GGC1,D,7
YDL198C,GGC1,D,8
YGL012W,ERG4,D,9
YGL012W,ERG4,D,10
YHR026W,VMA16,D,11
YHR026W,VMA16,D,12
YLR447C,VMA6,D,13
YLR447C,VMA6,D,14
YMR091C,NPL6,D,15
YMR091C,NPL6,D,16
YNL218W,MGS1,D,17
YNL218W,MGS1,D,18
YML022W,APT1,D,19
YML022W,APT1,D,20
YGL234W,"ADE5,7",D,21
YGL234W,"ADE5,7",D,22
YKL211C,TRP3,D,23
YKL211C,TRP3,D,24
YJR010W,MET3,E,1
YJR010W,MET3,E,2
YKR099W,BAS1,E,3
YKR099W,BAS1,E,4
YJR137C,MET5,E,5
YJR137C,MET5,E,6
YKR069W,MET1,E,7
YKR069W,MET1,E,8
YOR130C,ORT1,E,9
YOR130C,ORT1,E,10
YKL029C,MAE1,E,11
YKL029C,MAE1,E,12
YER086W,ILV1,E,13
YER086W,ILV1,E,14
YER069W,"ARG5,6",E,15
YER069W,"ARG5,6",E,16
YOR068C,VAM10,E,17
YOR068C,VAM10,E,18
YOL015W,IRC10,E,19
YOL015W,IRC10,E,20
YOL054W,PSH1,E,21
YOL054W,PSH1,E,22
YOL067C,RTG1,E,23
YOL067C,RTG1,E,24
YLL027W,ISA1,F,1
YLL027W,ISA1,F,2
YAL035W,FUN12,F,3
YAL035W,FUN12,F,4
YGR006W,PRP18,F,5
YGR006W,PRP18,F,6
YHR011W,DIA4,F,7
YHR011W,DIA4,F,8
YHR147C,MRPL6,F,9
YHR147C,MRPL6,F,10
YJR122W,IBA57,F,11
YJR122W,IBA57,F,12
YKL080W,VMA5,F,13
YKL080W,VMA5,F,14
YKL119C,VPH2,F,15
YKL119C,VPH2,F,16
YPL188W,POS5,F,17
YPL188W,POS5,F,18
YKL216W,URA1,F,19
YKL216W,URA1,F,20
YLR420W,URA4,F,21
YLR420W,URA4,F,22
YLR242C,ARV1,F,23
YLR242C,ARV1,F,24
YBR207W,FTH1,G,1
YBR207W,FTH1,G,2
YDR364C,CDC40,G,3
YDR364C,CDC40,G,4
YDR425W,SNX41,G,5
YDR425W,SNX41,G,6
YER057C,HMF1,G,7
YER057C,HMF1,G,8
YER060W-A,FCY22,G,9
YER060W-A,FCY22,G,10
YGR157W,CHO2,G,11
YGR157W,CHO2,G,12
YHR178W,STB5,G,13
YHR178W,STB5,G,14
YKL001C,MET14,G,15
YKL001C,MET14,G,16
YKL135C,APL2,G,17
YKL135C,APL2,G,18
YGR036C,CAX4,G,19
YGR036C,CAX4,G,20
YGR105W,VMA21,G,21
YGR105W,VMA21,G,22
YKL184W,SPE1,G,23
YKL184W,SPE1,G,24
YAR015W,ADE1,H,1
YAR015W,ADE1,H,2
YDR408C,ADE8,H,3
YDR408C,ADE8,H,4
YGR061C,ADE6,H,5
YGR061C,ADE6,H,6
YBR127C,VMA2,H,7
YBR127C,VMA2,H,8
YCL005W-A,VMA9,H,9
YCL005W-A,VMA9,H,10
BLANK,BLANK,H,11
BLANK,BLANK,H,12
BLANK,BLANK,H,13
BLANK,BLANK,H,14
BLANK,BLANK,H,15
BLANK,BLANK,H,16
BLANK,BLANK,H,17
BLANK,BLANK,H,18
BLANK,BLANK,H,19
BLANK,BLANK,H,20
BLANK,BLANK,H,21
BLANK,BLANK,H,22
BLANK,BLANK,H,23
BLANK,BLANK,H,24
YOR135C,IRC14,I,1
YOR135C,IRC14,I,2
YJL176C,SWI3,I,3
YJL176C,SWI3,I,4
YLR357W,RSC2,I,5
YLR357W,RSC2,I,6
YDR176W,NGG1,I,7
YDR176W,NGG1,I,8
YGR020C,VMA7,I,9
YGR020C,VMA7,I,10
YPR167C,MET16,I,11
YPR167C,MET16,I,12
YPR173C,VPS4,I,13
YPR173C,VPS4,I,14
YGL053W,PRM8,I,15
YGL053W,PRM8,I,16
YGL080W,MPC1,I,17
YGL080W,MPC1,I,18
YNL201C,PSY2,I,19
YNL201C,PSY2,I,20
YNL202W,SPS19,I,21
YNL202W,SPS19,I,22
YNL215W,IES2,I,23
YNL215W,IES2,I,24
YFL032W,YFL032W-dubious,J,1
YFL032W,YFL032W-dubious,J,2
YCR066W,RAD18,J,3
YCR066W,RAD18,J,4
YBR209W,YBR209W-uncharacterised,J,5
YBR209W,YBR209W-uncharacterised,J,6
YPL006W,NCR1,J,7
YPL006W,NCR1,J,8
YLR304C,ACO1,J,9
YLR304C,ACO1,J,10
YDR008C,YDR008C-dubious,J,11
YDR008C,YDR008C-dubious,J,12
YKR058W,GLG1,J,13
YKR058W,GLG1,J,14
YBL033C,RIB1,J,15
YBL033C,RIB1,J,16
YEL024W,RIP1,J,17
YEL024W,RIP1,J,18
YDR477W,SNF1,J,19
YDR477W,SNF1,J,20
YDR300C,PRO1,J,21
YDR300C,PRO1,J,22
YHL005C,YHL005C-uncharacterised,J,23
YHL005C,YHL005C-uncharacterised,J,24
YNL241C,ZWF1,K,1
YNL241C,ZWF1,K,2
YGR285C,ZUO1,K,3
YGR285C,ZUO1,K,4
YIR017C,MET28,K,5
YIR017C,MET28,K,6
YML106W,URA5,K,7
YML106W,URA5,K,8
YJL095W,BCK1,K,9
YJL095W,BCK1,K,10
YJR073C,OPI3,K,11
YJR073C,OPI3,K,12
YJR105W,ADO1,K,13
YJR105W,ADO1,K,14
YJR148W,BAT2,K,15
YJR148W,BAT2,K,16
YDR027C,VPS54,K,17
YDR027C,VPS54,K,18
YDL101C,DUN1,K,19
YDL101C,DUN1,K,20
YIL148W,RPL40A,K,21
YIL148W,RPL40A,K,22
YKL139W,CTK1,K,23
YKL139W,CTK1,K,24
YGR168C,PEX35,L,1
YGR168C,PEX35,L,2
YDL075W,RPL31A,L,3
YDL075W,RPL31A,L,4
YOR202W,HIS3,L,5
YOR202W,HIS3,L,6
YOR202W,HIS3,L,7
YOR202W,HIS3,L,8
YLR303W,MET17,L,9
YLR303W,MET17,L,10
YLR303W,MET17,L,11
YLR303W,MET17,L,12
BY4741_pHLUM,BY4741_pHLUM,L,13
BY4741_pHLUM,BY4741_pHLUM,L,14
BY4741_pHLUM,BY4741_pHLUM,L,15
BY4741_pHLUM,BY4741_pHLUM,L,16
YDL227C,HO,L,17
YDL227C,HO,L,18
YDL227C,HO,L,19
YDL227C,HO,L,20
BLANK,BLANK,L,21
BLANK,BLANK,L,22
BLANK,BLANK,L,23
BLANK,BLANK,L,24
YCR084C,TUP1,M,1
YCR084C,TUP1,M,2
YFR030W,MET10,M,3
YFR030W,MET10,M,4
YBR147W,RTC2,M,5
YBR147W,RTC2,M,6
YMR038C,CCS1,M,7
YMR038C,CCS1,M,8
YAL016W,TPD3,M,9
YAL016W,TPD3,M,10
YBR097W,VPS15,M,11
YBR097W,VPS15,M,12
YDL167C,NRP1,M,13
YDL167C,NRP1,M,14
YDL185W,VMA1,M,15
YDL185W,VMA1,M,16
YGL206C,CHC1,M,17
YGL206C,CHC1,M,18
YGL240W,DOC1,M,19
YGL240W,DOC1,M,20
YJL006C,CTK2,M,21
YJL006C,CTK2,M,22
YLR369W,SSQ1,M,23
YLR369W,SSQ1,M,24
BLANK,BLANK,N,1
BLANK,BLANK,N,2
BLANK,BLANK,N,3
BLANK,BLANK,N,4
BLANK,BLANK,N,5
BLANK,BLANK,N,6
BLANK,BLANK,N,7
BLANK,BLANK,N,8
BLANK,BLANK,N,9
BLANK,BLANK,N,10
BLANK,BLANK,N,11
BLANK,BLANK,N,12
BLANK,BLANK,N,13
BLANK,BLANK,N,14
BLANK,BLANK,N,15
BLANK,BLANK,N,16
BLANK,BLANK,N,17
BLANK,BLANK,N,18
BLANK,BLANK,N,19
BLANK,BLANK,N,20
BLANK,BLANK,N,21
BLANK,BLANK,N,22
BLANK,BLANK,N,23
BLANK,BLANK,N,24
YNL225C,CNM67,O,1
YNL225C,CNM67,O,2
YPL045W,VPS16,O,3
YPL045W,VPS16,O,4
YPL059W,GRX5,O,5
YPL059W,GRX5,O,6
YEL029C,BUD16,O,7
YEL029C,BUD16,O,8
YER087W,AIM10,O,9
YER087W,AIM10,O,10
YOR128C,ADE2,O,11
YOR128C,ADE2,O,12
YBR112C,CYC8,O,13
YBR112C,CYC8,O,14
YEL036C,ANP1,O,15
YEL036C,ANP1,O,16
YGR252W,GCN5,O,17
YGR252W,GCN5,O,18
YHR010W,RPL27A,O,19
YHR010W,RPL27A,O,20
YLR148W,PEP3,O,21
YLR148W,PEP3,O,22
YDL160C-A,MHF2,O,23
YDL160C-A,MHF2,O,24
BLANK,BLANK,P,1
BLANK,BLANK,P,2
BLANK,BLANK,P,3
BLANK,BLANK,P,4
BLANK,BLANK,P,5
BLANK,BLANK,P,6
BLANK,BLANK,P,7
BLANK,BLANK,P,8
BLANK,BLANK,P,9
BLANK,BLANK,P,10
BLANK,BLANK,P,11
BLANK,BLANK,P,12
BLANK,BLANK,P,13
BLANK,BLANK,P,14
YER055C,HIS1,P,15
YER055C,HIS1,P,16
YFR025C,HIS2,P,17
YFR025C,HIS2,P,18
YCL030C,HIS4,P,19
YCL030C,HIS4,P,20
YIL020C,HIS6,P,21
YIL020C,HIS6,P,22
YBR248C,HIS7,P,23
YBR248C,HIS7,P,24