"","Sample","Timepoint","Replicate","parameter","value","Mean","SD","SE","col_fac"
"1","△HIS2-△MET3 1:10","24h","rep1","OD600",0.135,0.115666666666667,0.0218250620464945,0.0126007054476239,"His2 Met3"
"2","△HIS2-△MET3 1:10","24h","rep2","OD600",0.092,0.115666666666667,0.0218250620464945,0.0126007054476239,"His2 Met3"
"3","△HIS2-△MET3 1:10","24h","rep3","OD600",0.12,0.115666666666667,0.0218250620464945,0.0126007054476239,"His2 Met3"
"4","△HIS2-△MET3 1:10","48h","rep1","OD600",0.34,0.331,0.00793725393319378,0.00458257569495584,"His2 Met3"
"5","△HIS2-△MET3 1:10","48h","rep2","OD600",0.328,0.331,0.00793725393319378,0.00458257569495584,"His2 Met3"
"6","△HIS2-△MET3 1:10","48h","rep3","OD600",0.325,0.331,0.00793725393319378,0.00458257569495584,"His2 Met3"
"7","△HIS2-△MET3 20:1","24h","rep1","OD600",0.141,0.148666666666667,0.00709459888459759,0.00409606857581484,"His2 Met3"
"8","△HIS2-△MET3 20:1","24h","rep2","OD600",0.155,0.148666666666667,0.00709459888459759,0.00409606857581484,"His2 Met3"
"9","△HIS2-△MET3 20:1","24h","rep3","OD600",0.15,0.148666666666667,0.00709459888459759,0.00409606857581484,"His2 Met3"
"10","△HIS2-△MET3 20:1","48h","rep1","OD600",0.814,0.819333333333333,0.00503322295684717,0.00290593262902712,"His2 Met3"
"11","△HIS2-△MET3 20:1","48h","rep2","OD600",0.824,0.819333333333333,0.00503322295684717,0.00290593262902712,"His2 Met3"
"12","△HIS2-△MET3 20:1","48h","rep3","OD600",0.82,0.819333333333333,0.00503322295684717,0.00290593262902712,"His2 Met3"
"13","△HIS2-△MET3 5:1","24h","rep1","OD600",0.159,0.176,0.0147986485869487,0.00854400374531753,"His2 Met3"
"14","△HIS2-△MET3 5:1","24h","rep2","OD600",0.183,0.176,0.0147986485869487,0.00854400374531753,"His2 Met3"
"15","△HIS2-△MET3 5:1","24h","rep3","OD600",0.186,0.176,0.0147986485869487,0.00854400374531753,"His2 Met3"
"16","△HIS2-△MET3 5:1","48h","rep1","OD600",0.882,0.910666666666667,0.0248260615751539,0.0143333333333333,"His2 Met3"
"17","△HIS2-△MET3 5:1","48h","rep2","OD600",0.925,0.910666666666667,0.0248260615751539,0.0143333333333333,"His2 Met3"
"18","△HIS2-△MET3 5:1","48h","rep3","OD600",0.925,0.910666666666667,0.0248260615751539,0.0143333333333333,"His2 Met3"
"19","△MET14-△TRP4 1:10","24h","rep1","OD600",0.18,0.193666666666667,0.0158219257150744,0.00913479307069648,"Met14 Trp2"
"20","△MET14-△TRP4 1:10","24h","rep2","OD600",0.211,0.193666666666667,0.0158219257150744,0.00913479307069648,"Met14 Trp2"
"21","△MET14-△TRP4 1:10","24h","rep3","OD600",0.19,0.193666666666667,0.0158219257150744,0.00913479307069648,"Met14 Trp2"
"22","△MET14-△TRP4 1:10","48h","rep1","OD600",0.967,0.935666666666667,0.0997613819738547,0.0575972607373341,"Met14 Trp2"
"23","△MET14-△TRP4 1:10","48h","rep2","OD600",1.016,0.935666666666667,0.0997613819738547,0.0575972607373341,"Met14 Trp2"
"24","△MET14-△TRP4 1:10","48h","rep3","OD600",0.824,0.935666666666667,0.0997613819738547,0.0575972607373341,"Met14 Trp2"
"25","△MET14-△TRP4 1:2","24h","rep1","OD600",0.227,0.236333333333333,0.0225018517756502,0.0129914501799367,"Met14 Trp2"
"26","△MET14-△TRP4 1:2","24h","rep2","OD600",0.262,0.236333333333333,0.0225018517756502,0.0129914501799367,"Met14 Trp2"
"27","△MET14-△TRP4 1:2","24h","rep3","OD600",0.22,0.236333333333333,0.0225018517756502,0.0129914501799367,"Met14 Trp2"
"28","△MET14-△TRP4 1:2","48h","rep1","OD600",1.236,1.19633333333333,0.0349618840072061,0.0201852531429369,"Met14 Trp2"
"29","△MET14-△TRP4 1:2","48h","rep2","OD600",1.17,1.19633333333333,0.0349618840072061,0.0201852531429369,"Met14 Trp2"
"30","△MET14-△TRP4 1:2","48h","rep3","OD600",1.183,1.19633333333333,0.0349618840072061,0.0201852531429369,"Met14 Trp2"
"31","△MET14-△TRP4 10:1","24h","rep1","OD600",0.127,0.126666666666667,0.00351188458428425,0.00202758751009941,"Met14 Trp2"
"32","△MET14-△TRP4 10:1","24h","rep2","OD600",0.13,0.126666666666667,0.00351188458428425,0.00202758751009941,"Met14 Trp2"
"33","△MET14-△TRP4 10:1","24h","rep3","OD600",0.123,0.126666666666667,0.00351188458428425,0.00202758751009941,"Met14 Trp2"
"34","△MET14-△TRP4 10:1","48h","rep1","OD600",0.198,0.198333333333333,0.00152752523165195,0.000881917103688198,"Met14 Trp2"
"35","△MET14-△TRP4 10:1","48h","rep2","OD600",0.197,0.198333333333333,0.00152752523165195,0.000881917103688198,"Met14 Trp2"
"36","△MET14-△TRP4 10:1","48h","rep3","OD600",0.2,0.198333333333333,0.00152752523165195,0.000881917103688198,"Met14 Trp2"
"37","△MET3-△HIS2 1:20","24h","rep1","OD600",0.139,0.145333333333333,0.00929157324317757,0.00536449231314369,"His2 Met3"
"38","△MET3-△HIS2 1:20","24h","rep2","OD600",0.156,0.145333333333333,0.00929157324317757,0.00536449231314369,"His2 Met3"
"39","△MET3-△HIS2 1:20","24h","rep3","OD600",0.141,0.145333333333333,0.00929157324317757,0.00536449231314369,"His2 Met3"
"40","△MET3-△HIS2 1:20","48h","rep1","OD600",0.767,0.765666666666667,0.0210317220724632,0.012142670400058,"His2 Met3"
"41","△MET3-△HIS2 1:20","48h","rep2","OD600",0.786,0.765666666666667,0.0210317220724632,0.012142670400058,"His2 Met3"
"42","△MET3-△HIS2 1:20","48h","rep3","OD600",0.744,0.765666666666667,0.0210317220724632,0.012142670400058,"His2 Met3"
"43","△MET3-△HIS2 1:5","24h","rep1","OD600",0.172,0.165,0.0340440890610984,0.0196553639837408,"His2 Met3"
"44","△MET3-△HIS2 1:5","24h","rep2","OD600",0.128,0.165,0.0340440890610984,0.0196553639837408,"His2 Met3"
"45","△MET3-△HIS2 1:5","24h","rep3","OD600",0.195,0.165,0.0340440890610984,0.0196553639837408,"His2 Met3"
"46","△MET3-△HIS2 1:5","48h","rep1","OD600",0.838,0.814666666666667,0.0202319878739913,0.0116809436452901,"His2 Met3"
"47","△MET3-△HIS2 1:5","48h","rep2","OD600",0.802,0.814666666666667,0.0202319878739913,0.0116809436452901,"His2 Met3"
"48","△MET3-△HIS2 1:5","48h","rep3","OD600",0.804,0.814666666666667,0.0202319878739913,0.0116809436452901,"His2 Met3"
"49","△MET3-△HIS2 10:1","24h","rep1","OD600",0.117,0.0953333333333333,0.0510718448201485,0.0294863433549236,"His2 Met3"
"50","△MET3-△HIS2 10:1","24h","rep2","OD600",0.037,0.0953333333333333,0.0510718448201485,0.0294863433549236,"His2 Met3"
"51","△MET3-△HIS2 10:1","24h","rep3","OD600",0.132,0.0953333333333333,0.0510718448201485,0.0294863433549236,"His2 Met3"
"52","△MET3-△HIS2 10:1","48h","rep1","OD600",0.292,0.300666666666667,0.0195021366350801,0.0112595638360364,"His2 Met3"
"53","△MET3-△HIS2 10:1","48h","rep2","OD600",0.323,0.300666666666667,0.0195021366350801,0.0112595638360364,"His2 Met3"
"54","△MET3-△HIS2 10:1","48h","rep3","OD600",0.287,0.300666666666667,0.0195021366350801,0.0112595638360364,"His2 Met3"
"55","△TRP2-△TRP4 1:1","24h","rep1","OD600",0.436,0.446333333333333,0.0572043121917687,0.033026925042725,"Trp2 Trp4"
"56","△TRP2-△TRP4 1:1","24h","rep2","OD600",0.508,0.446333333333333,0.0572043121917687,0.033026925042725,"Trp2 Trp4"
"57","△TRP2-△TRP4 1:1","24h","rep3","OD600",0.395,0.446333333333333,0.0572043121917687,0.033026925042725,"Trp2 Trp4"
"58","△TRP2-△TRP4 1:1","48h","rep1","OD600",1.291,1.26533333333333,0.0241729876790878,0.0139562809436388,"Trp2 Trp4"
"59","△TRP2-△TRP4 1:1","48h","rep2","OD600",1.262,1.26533333333333,0.0241729876790878,0.0139562809436388,"Trp2 Trp4"
"60","△TRP2-△TRP4 1:1","48h","rep3","OD600",1.243,1.26533333333333,0.0241729876790878,0.0139562809436388,"Trp2 Trp4"
"61","△TRP2-△TRP4 1:10","24h","rep1","OD600",0.293,0.309333333333333,0.0336204302966713,0.0194107644820542,"Trp2 Trp4"
"62","△TRP2-△TRP4 1:10","24h","rep2","OD600",0.287,0.309333333333333,0.0336204302966713,0.0194107644820542,"Trp2 Trp4"
"63","△TRP2-△TRP4 1:10","24h","rep3","OD600",0.348,0.309333333333333,0.0336204302966713,0.0194107644820542,"Trp2 Trp4"
"64","△TRP2-△TRP4 1:10","48h","rep1","OD600",1.363,1.353,0.00866025403784433,0.00499999999999997,"Trp2 Trp4"
"65","△TRP2-△TRP4 1:10","48h","rep2","OD600",1.348,1.353,0.00866025403784433,0.00499999999999997,"Trp2 Trp4"
"66","△TRP2-△TRP4 1:10","48h","rep3","OD600",1.348,1.353,0.00866025403784433,0.00499999999999997,"Trp2 Trp4"
"67","△TRP2-△TRP4 10:1","24h","rep1","OD600",0.177,0.176333333333333,0.00901849950564578,0.0052068331172711,"Trp2 Trp4"
"68","△TRP2-△TRP4 10:1","24h","rep2","OD600",0.185,0.176333333333333,0.00901849950564578,0.0052068331172711,"Trp2 Trp4"
"69","△TRP2-△TRP4 10:1","24h","rep3","OD600",0.167,0.176333333333333,0.00901849950564578,0.0052068331172711,"Trp2 Trp4"
"70","△TRP2-△TRP4 10:1","48h","rep1","OD600",0.468,0.431333333333333,0.0365011415346607,0.021073943890765,"Trp2 Trp4"
"71","△TRP2-△TRP4 10:1","48h","rep2","OD600",0.431,0.431333333333333,0.0365011415346607,0.021073943890765,"Trp2 Trp4"
"72","△TRP2-△TRP4 10:1","48h","rep3","OD600",0.395,0.431333333333333,0.0365011415346607,0.021073943890765,"Trp2 Trp4"
"73","△TRP4-△MET14 1:10","24h","rep1","OD600",0.092,0.107,0.0137477270848675,0.00793725393319377,"Met14 Trp2"
"74","△TRP4-△MET14 1:10","24h","rep2","OD600",0.119,0.107,0.0137477270848675,0.00793725393319377,"Met14 Trp2"
"75","△TRP4-△MET14 1:10","24h","rep3","OD600",0.11,0.107,0.0137477270848675,0.00793725393319377,"Met14 Trp2"
"76","△TRP4-△MET14 1:10","48h","rep1","OD600",0.215,0.205333333333333,0.0126622799421484,0.00731057073315377,"Met14 Trp2"
"77","△TRP4-△MET14 1:10","48h","rep2","OD600",0.191,0.205333333333333,0.0126622799421484,0.00731057073315377,"Met14 Trp2"
"78","△TRP4-△MET14 1:10","48h","rep3","OD600",0.21,0.205333333333333,0.0126622799421484,0.00731057073315377,"Met14 Trp2"
"79","△TRP4-△MET14 10:1","24h","rep1","OD600",0.132,0.142,0.00953939201416945,0.0055075705472861,"Met14 Trp2"
"80","△TRP4-△MET14 10:1","24h","rep2","OD600",0.151,0.142,0.00953939201416945,0.0055075705472861,"Met14 Trp2"
"81","△TRP4-△MET14 10:1","24h","rep3","OD600",0.143,0.142,0.00953939201416945,0.0055075705472861,"Met14 Trp2"
"82","△TRP4-△MET14 10:1","48h","rep1","OD600",0.825,0.864666666666667,0.0554286327932896,0.0320017360640187,"Met14 Trp2"
"83","△TRP4-△MET14 10:1","48h","rep2","OD600",0.928,0.864666666666667,0.0554286327932896,0.0320017360640187,"Met14 Trp2"
"84","△TRP4-△MET14 10:1","48h","rep3","OD600",0.841,0.864666666666667,0.0554286327932896,0.0320017360640187,"Met14 Trp2"
"85","△TRP4-△MET14 2:1","24h","rep1","OD600",0.174,0.223,0.0427901857906693,0.024704925284917,"Met14 Trp2"
"86","△TRP4-△MET14 2:1","24h","rep2","OD600",0.242,0.223,0.0427901857906693,0.024704925284917,"Met14 Trp2"
"87","△TRP4-△MET14 2:1","24h","rep3","OD600",0.253,0.223,0.0427901857906693,0.024704925284917,"Met14 Trp2"
"88","△TRP4-△MET14 2:1","48h","rep1","OD600",1.135,1.128,0.023302360395462,0.0134536240470737,"Met14 Trp2"
"89","△TRP4-△MET14 2:1","48h","rep2","OD600",1.102,1.128,0.023302360395462,0.0134536240470737,"Met14 Trp2"
"90","△TRP4-△MET14 2:1","48h","rep3","OD600",1.147,1.128,0.023302360395462,0.0134536240470737,"Met14 Trp2"
"91","△TRP4-△TRP2 1:1","24h","rep1","OD600",0.346,0.467,0.132140077190836,0.0762911091368669,"Trp2 Trp4"
"92","△TRP4-△TRP2 1:1","24h","rep2","OD600",0.608,0.467,0.132140077190836,0.0762911091368669,"Trp2 Trp4"
"93","△TRP4-△TRP2 1:1","24h","rep3","OD600",0.447,0.467,0.132140077190836,0.0762911091368669,"Trp2 Trp4"
"94","△TRP4-△TRP2 1:1","48h","rep1","OD600",1.071,1.04166666666667,0.0356417358350198,0.0205777657787342,"Trp2 Trp4"
"95","△TRP4-△TRP2 1:1","48h","rep2","OD600",1.002,1.04166666666667,0.0356417358350198,0.0205777657787342,"Trp2 Trp4"
"96","△TRP4-△TRP2 1:1","48h","rep3","OD600",1.052,1.04166666666667,0.0356417358350198,0.0205777657787342,"Trp2 Trp4"
"97","△TRP4-△TRP2 1:10","24h","rep1","OD600",0.153,0.151,0.00346410161513776,0.002,"Trp2 Trp4"
"98","△TRP4-△TRP2 1:10","24h","rep2","OD600",0.153,0.151,0.00346410161513776,0.002,"Trp2 Trp4"
"99","△TRP4-△TRP2 1:10","24h","rep3","OD600",0.147,0.151,0.00346410161513776,0.002,"Trp2 Trp4"
"100","△TRP4-△TRP2 1:10","48h","rep1","OD600",0.415,0.361,0.046776062254106,0.0270061721340388,"Trp2 Trp4"
"101","△TRP4-△TRP2 1:10","48h","rep2","OD600",0.333,0.361,0.046776062254106,0.0270061721340388,"Trp2 Trp4"
"102","△TRP4-△TRP2 1:10","48h","rep3","OD600",0.335,0.361,0.046776062254106,0.0270061721340388,"Trp2 Trp4"
"103","△TRP4-△TRP2 10:1","24h","rep1","OD600",0.427,0.381,0.0410731055558257,0.0237135685491099,"Trp2 Trp4"
"104","△TRP4-△TRP2 10:1","24h","rep2","OD600",0.348,0.381,0.0410731055558257,0.0237135685491099,"Trp2 Trp4"
"105","△TRP4-△TRP2 10:1","24h","rep3","OD600",0.368,0.381,0.0410731055558257,0.0237135685491099,"Trp2 Trp4"
"106","△TRP4-△TRP2 10:1","48h","rep1","OD600",1.306,1.31766666666667,0.0102143689640297,0.00589726867098469,"Trp2 Trp4"
"107","△TRP4-△TRP2 10:1","48h","rep2","OD600",1.325,1.31766666666667,0.0102143689640297,0.00589726867098469,"Trp2 Trp4"
"108","△TRP4-△TRP2 10:1","48h","rep3","OD600",1.322,1.31766666666667,0.0102143689640297,0.00589726867098469,"Trp2 Trp4"
"109","BY-BY 1:1","24h","rep1","OD600",1.073,1.13333333333333,0.233423077979306,0.134766876906424,"WT"
"110","BY-BY 1:1","24h","rep2","OD600",1.391,1.13333333333333,0.233423077979306,0.134766876906424,"WT"
"111","BY-BY 1:1","24h","rep3","OD600",0.936,1.13333333333333,0.233423077979306,0.134766876906424,"WT"
"112","BY-BY 1:1","48h","rep1","OD600",1.583,1.55766666666667,0.0638853139096407,0.0368842031829948,"WT"
"113","BY-BY 1:1","48h","rep2","OD600",1.605,1.55766666666667,0.0638853139096407,0.0368842031829948,"WT"
"114","BY-BY 1:1","48h","rep3","OD600",1.485,1.55766666666667,0.0638853139096407,0.0368842031829948,"WT"
"115","BY-BY 1:10","24h","rep1","OD600",0.915,1.21666666666667,0.261358629728068,0.150895475228532,"WT"
"116","BY-BY 1:10","24h","rep2","OD600",1.36,1.21666666666667,0.261358629728068,0.150895475228532,"WT"
"117","BY-BY 1:10","24h","rep3","OD600",1.375,1.21666666666667,0.261358629728068,0.150895475228532,"WT"
"118","BY-BY 1:10","48h","rep1","OD600",1.465,1.507,0.0386264158316558,0.0223009715782369,"WT"
"119","BY-BY 1:10","48h","rep2","OD600",1.541,1.507,0.0386264158316558,0.0223009715782369,"WT"
"120","BY-BY 1:10","48h","rep3","OD600",1.515,1.507,0.0386264158316558,0.0223009715782369,"WT"
"121","BY-BY 10:1","24h","rep1","OD600",1.109,0.996,0.0989292676612942,0.0571168393149808,"WT"
"122","BY-BY 10:1","24h","rep2","OD600",0.925,0.996,0.0989292676612942,0.0571168393149808,"WT"
"123","BY-BY 10:1","24h","rep3","OD600",0.954,0.996,0.0989292676612942,0.0571168393149808,"WT"
"124","BY-BY 10:1","48h","rep1","OD600",1.587,1.53,0.0494267134250295,0.0285365263010993,"WT"
"125","BY-BY 10:1","48h","rep2","OD600",1.499,1.53,0.0494267134250295,0.0285365263010993,"WT"
"126","BY-BY 10:1","48h","rep3","OD600",1.504,1.53,0.0494267134250295,0.0285365263010993,"WT"
"127","RLAs879","24h","rep1","OD600",0.693,0.630666666666667,0.0719050299585038,0.0415143884026303,"WT"
"128","RLAs879","24h","rep2","OD600",0.647,0.630666666666667,0.0719050299585038,0.0415143884026303,"WT"
"129","RLAs879","24h","rep3","OD600",0.552,0.630666666666667,0.0719050299585038,0.0415143884026303,"WT"
"130","RLAs879","48h","rep1","OD600",1.572,1.49566666666667,0.0661991943556214,0.0382201226813544,"WT"
"131","RLAs879","48h","rep2","OD600",1.454,1.49566666666667,0.0661991943556214,0.0382201226813544,"WT"
"132","RLAs879","48h","rep3","OD600",1.461,1.49566666666667,0.0661991943556214,0.0382201226813544,"WT"
"133","△HIS2-△MET3 1:10","24h","rep1","Glucose",21.1142261987092,22.1997241718905,1.87768578273262,1.08408239211421,"His2 Met3"
"134","△HIS2-△MET3 1:10","24h","rep2","Glucose",21.117057977261,22.1997241718905,1.87768578273262,1.08408239211421,"His2 Met3"
"135","△HIS2-△MET3 1:10","24h","rep3","Glucose",24.3678883397012,22.1997241718905,1.87768578273262,1.08408239211421,"His2 Met3"
"136","△HIS2-△MET3 1:10","48h","rep1","Glucose",22.1226834479578,22.5113654883423,0.367133061251538,0.211964371741987,"His2 Met3"
"137","△HIS2-△MET3 1:10","48h","rep2","Glucose",22.5591412047418,22.5113654883423,0.367133061251538,0.211964371741987,"His2 Met3"
"138","△HIS2-△MET3 1:10","48h","rep3","Glucose",22.8522718123272,22.5113654883423,0.367133061251538,0.211964371741987,"His2 Met3"
"139","△HIS2-△MET3 20:1","24h","rep1","Glucose",19.4778675380859,19.5280274590995,0.0680186390246016,0.0392705795507657,"His2 Met3"
"140","△HIS2-△MET3 20:1","24h","rep2","Glucose",19.605447862838,19.5280274590995,0.0680186390246016,0.0392705795507657,"His2 Met3"
"141","△HIS2-△MET3 20:1","24h","rep3","Glucose",19.5007669763745,19.5280274590995,0.0680186390246016,0.0392705795507657,"His2 Met3"
"142","△HIS2-△MET3 20:1","48h","rep1","Glucose",8.66445417584874,9.36349413584139,1.53773168953276,0.887809804893159,"His2 Met3"
"143","△HIS2-△MET3 20:1","48h","rep2","Glucose",8.29946323251467,9.36349413584139,1.53773168953276,0.887809804893159,"His2 Met3"
"144","△HIS2-△MET3 20:1","48h","rep3","Glucose",11.1265649991608,9.36349413584139,1.53773168953276,0.887809804893159,"His2 Met3"
"145","△HIS2-△MET3 5:1","24h","rep1","Glucose",19.0203790795575,19.019657951593,0.0399918835758024,0.0230893247478897,"His2 Met3"
"146","△HIS2-△MET3 5:1","24h","rep2","Glucose",19.0592843946603,19.019657951593,0.0399918835758024,0.0230893247478897,"His2 Met3"
"147","△HIS2-△MET3 5:1","24h","rep3","Glucose",18.9793103805611,19.019657951593,0.0399918835758024,0.0230893247478897,"His2 Met3"
"148","△HIS2-△MET3 5:1","48h","rep1","Glucose",7.36167487587419,6.92048084422071,0.660589297430536,0.381391408695306,"His2 Met3"
"149","△HIS2-△MET3 5:1","48h","rep2","Glucose",7.23876144873534,6.92048084422071,0.660589297430536,0.381391408695306,"His2 Met3"
"150","△HIS2-△MET3 5:1","48h","rep3","Glucose",6.1610062080526,6.92048084422071,0.660589297430536,0.381391408695306,"His2 Met3"
"151","△MET14-△TRP4 1:10","24h","rep1","Glucose",20.2105190483887,19.5041913454566,0.622563239423949,0.359437053868982,"Met14 Trp2"
"152","△MET14-△TRP4 1:10","24h","rep2","Glucose",19.0352221869663,19.5041913454566,0.622563239423949,0.359437053868982,"Met14 Trp2"
"153","△MET14-△TRP4 1:10","24h","rep3","Glucose",19.2668328010146,19.5041913454566,0.622563239423949,0.359437053868982,"Met14 Trp2"
"154","△MET14-△TRP4 1:10","48h","rep1","Glucose",7.88989056323086,9.01380145426672,2.80004397191975,1.61660614093066,"Met14 Trp2"
"155","△MET14-△TRP4 1:10","48h","rep2","Glucose",6.95033036749655,9.01380145426672,2.80004397191975,1.61660614093066,"Met14 Trp2"
"156","△MET14-△TRP4 1:10","48h","rep3","Glucose",12.2011834320728,9.01380145426672,2.80004397191975,1.61660614093066,"Met14 Trp2"
"157","△MET14-△TRP4 1:2","24h","rep1","Glucose",19.3811480625508,20.0272154388017,1.80816367680803,1.04394378554402,"Met14 Trp2"
"158","△MET14-△TRP4 1:2","24h","rep2","Glucose",18.6308295762833,20.0272154388017,1.80816367680803,1.04394378554402,"Met14 Trp2"
"159","△MET14-△TRP4 1:2","24h","rep3","Glucose",22.0696686775709,20.0272154388017,1.80816367680803,1.04394378554402,"Met14 Trp2"
"160","△MET14-△TRP4 1:2","48h","rep1","Glucose",5.51170133637412,4.0122842335278,2.3965488383861,1.3836481169683,"Met14 Trp2"
"161","△MET14-△TRP4 1:2","48h","rep2","Glucose",5.27683921961376,4.0122842335278,2.3965488383861,1.3836481169683,"Met14 Trp2"
"162","△MET14-△TRP4 1:2","48h","rep3","Glucose",1.24831214459552,4.0122842335278,2.3965488383861,1.3836481169683,"Met14 Trp2"
"163","△MET14-△TRP4 10:1","24h","rep1","Glucose",21.8370851340202,21.2313719204645,0.935434149849515,0.540073158224786,"Met14 Trp2"
"164","△MET14-△TRP4 10:1","24h","rep2","Glucose",21.7030285000803,21.2313719204645,0.935434149849515,0.540073158224786,"Met14 Trp2"
"165","△MET14-△TRP4 10:1","24h","rep3","Glucose",20.154002127293,21.2313719204645,0.935434149849515,0.540073158224786,"Met14 Trp2"
"166","△MET14-△TRP4 10:1","48h","rep1","Glucose",22.6911531047275,22.4562908231756,0.426533411125643,0.246259179731759,"Met14 Trp2"
"167","△MET14-△TRP4 10:1","48h","rep2","Glucose",21.9639456491404,22.4562908231756,0.426533411125643,0.246259179731759,"Met14 Trp2"
"168","△MET14-△TRP4 10:1","48h","rep3","Glucose",22.7137737156587,22.4562908231756,0.426533411125643,0.246259179731759,"Met14 Trp2"
"169","△MET3-△HIS2 1:20","24h","rep1","Glucose",19.3553852057266,18.8830951672681,0.697990261652232,0.402984865456653,"His2 Met3"
"170","△MET3-△HIS2 1:20","24h","rep2","Glucose",19.212544521279,18.8830951672681,0.697990261652232,0.402984865456653,"His2 Met3"
"171","△MET3-△HIS2 1:20","24h","rep3","Glucose",18.0813557747986,18.8830951672681,0.697990261652232,0.402984865456653,"His2 Met3"
"172","△MET3-△HIS2 1:20","48h","rep1","Glucose",9.18561612431287,9.54199802579983,0.56410087891629,0.325683794292425,"His2 Met3"
"173","△MET3-△HIS2 1:20","48h","rep2","Glucose",9.24800918365342,9.54199802579983,0.56410087891629,0.325683794292425,"His2 Met3"
